stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,1541.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,1078.82,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,15.77,0,0,0,28.92,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,218.18,23.66,0,0,94.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,12.59,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.87,9.44,0,0,129.03,0,0,0,0,18.88,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,18,10,0,54,0,0,0,11,2,0,0,0,1,0,0,0,2,36,0,21,616,7,0,2,9,0,0,0,53,0,2,65,152,0,0,1,0,0
 24-34,0.82,0,0,2.46,13.13,0.82,0,177.3,0,0,0.82,24.63,0.82,0,1.64,0.82,0,1.64,0.82,0.82,0.82,106.71,0,36.94,1471.79,4.93,0.82,4.93,0,0,4.1,0,0,1.64,0.82,31.19,305.36,0,0,9.85,0,1.64
 36-46,0,0,0,0,9.67,3.22,0,344.83,5.64,0,4.83,91.04,0.81,0,0.81,0,0,2.42,1.61,0.81,0,140.99,1.61,39.48,1894.13,3.22,0.81,3.22,0,0,2.42,0,0,0,1.61,0,446.34,0,0.81,7.25,0,6.45
 48-58,0.57,0,0.57,0,6.89,2.3,0,431.5,8.03,1.15,6.31,127.38,0,0,1.72,0,0,2.3,0,0,2.87,194.52,6.31,37.3,1327.78,0.57,1.15,2.3,0,0,2.3,0,0,0,1.15,0,344.28,0,1.72,5.16,0.57,2.3
 60-70,0.98,0,0,0,8.83,0.98,0,665.47,7.85,0,6.87,122.69,0,0,0.98,0,0,0,0,3.93,1.96,212.01,6.87,23.56,1496.82,0,1.96,3.93,0,0,1.96,0,0,0.98,0,0,173.73,0,4.91,6.87,0.98,10.8
 72-82,0,0,0,0,11.78,3.93,0,266.03,6.87,0,4.91,71.66,0.98,0,0,0,1.96,0,0.98,4.91,0.98,140.38,3.93,24.54,630.23,0.98,0,4.91,0,1.96,2.94,0,0,0,0,0,43.19,0,1.96,7.85,2.94,5.89
 84-94,0,0,0,0,8.5,5.31,2.12,230.46,6.37,2.12,10.62,70.09,1.06,0,1.06,1.06,0,4.25,0,6.37,1.06,123.2,1.06,18.05,438.62,3.19,0,3.19,0,0,1.06,0,0,3.19,2.12,0,41.42,1.06,1.06,8.5,4.25,5.31
 96-106,0,0,0,0,5.46,2.19,1.09,130.05,1.09,1.09,5.46,48.09,2.19,0,2.19,2.19,2.19,3.28,2.19,14.21,1.09,63.39,1.09,13.11,242.61,0,0,5.46,0,1.09,2.19,0,0,2.19,0,0,16.39,0,1.09,5.46,2.19,9.84
108-118,0,0,0,0,3.83,3.83,3.06,134.04,3.06,0.77,3.83,48.26,0,0,0,0,0,2.3,0.77,16.85,5.36,60.51,0,22.21,382.98,0,1.53,6.13,0,0.77,0.77,0,0,1.53,0,0,9.96,0,1.53,5.36,1.53,2.3
120,0,0,0,0,3.92,15.68,0,90.15,5.88,1.96,3.92,54.87,9.8,1.96,0,0,0,0,0,29.4,0,43.12,0,25.48,309.65,0,3.92,7.84,0,0,0,0,0,9.8,1.96,0,5.88,0,0,7.84,3.92,0
