stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0
  7-9,2.63,0,2.63,0,2.63,0,0,0,0,0,31.54,0,0,7.89,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,18.88,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,1,1,2,0
 24-34,0,0,0,0.82,1.64,0,0,0,1.64,0,8.21,0,0.82,0,0.82,0,0,1.64,0
 36-46,0,0,0,0.81,0.81,0,0,0,0,0,4.83,0,0,0,0.81,0,0,0.81,0
 48-58,0,0,0,0,1.15,0,0,0.57,0,0,1.72,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,2.94,0,0,0,3.93,0,3.93,0,0,0,0.98,0,0,0,0.98
 72-82,0,0,0,0,0.98,0.98,0,0,0.98,0.98,4.91,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,1.06,0,1.06,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.53,0,0,0,0,0.77,2.3,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0
