stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.95,5.26,0,0,18.4,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,6.29,0,6.29,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,9,1,0,6,0,0,0,11,0,1,0,0,0,0,0,0,4,0,0,10,318,5,0,1,2,4,1,3,0,301,180,128,0,0,0,0,0
 24-34,0,0,0,0,8.21,0,0,18.88,178.13,2.46,0.82,27.91,0,5.75,0.82,0.82,0,1.64,0,1.64,29.55,0,0,36.94,861.08,1.64,0,1.64,0,6.57,0,0,0,205.21,128.05,187.98,0,0,5.75,0,0.82
 36-46,0,0,0,0,5.64,0,0,19.34,290.85,0,0,104.74,0,0.81,0,0,0,4.83,0.81,0,38.67,0,0,34.64,787.14,0.81,0,1.61,0.81,3.22,0,0,0.81,137.77,7.25,208.67,0,0,1.61,0,0.81
 48-58,0,0,0,0,2.3,0,0,39.02,186.49,0,0.57,257.06,0,1.15,0,0,0,3.44,0,0,37.87,0,1.15,32.13,401.09,0,0,0.57,0,2.87,0,0,0,65.41,0,199.11,0,0,1.72,0,0.57
 60-70,0,0,0,0,1.96,0,0,24.54,135.45,0.98,0.98,278.75,0,0.98,0.98,0,0,3.93,0,0,18.65,0,0,40.24,184.53,0,0.98,2.94,0.98,0.98,0,0,0,40.24,0,78.52,0,0,0.98,0,0.98
 72-82,0,0,0.98,0,3.93,0,0,31.41,95.22,0,1.96,306.28,0.98,0,0,0.98,0.98,5.89,0,0,20.61,1.96,0.98,45.16,159.03,0,0.98,6.87,0,2.94,0,0,0,14.72,0,12.76,0.98,0,0.98,0,0
 84-94,0,0,0,0,5.31,1.06,0,36.11,127.44,0,1.06,184.79,1.06,0,0,0,0,3.19,0,1.06,23.36,0,0,40.36,79.65,1.06,0,5.31,0,1.06,0,0,0,27.61,0,22.3,0,0,1.06,2.12,2.12
 96-106,0,0,0,0,7.65,3.28,0,26.23,182.51,4.37,1.09,208.73,1.09,2.19,2.19,1.09,1.09,3.28,3.28,0,30.6,2.19,0,40.44,100.54,0,1.09,5.46,0,5.46,0,0,0,27.32,0,6.56,0,2.19,2.19,2.19,1.09
108-118,0,0,0.77,0,4.6,0,0.77,16.09,185.36,0,1.53,171.58,2.3,1.53,0,0,0,3.83,3.06,0,23.74,0,0,62.81,113.36,0.77,0.77,3.83,0,3.83,0,0,0.77,32.94,0,3.83,0.77,0,1.53,0,0
120,0,0,0,0,5.88,0,0,11.76,166.58,0,0,182.26,0,0,0,0,0,0,0,0,23.52,0,0,52.91,105.83,0,3.92,3.92,0,1.96,0,0,1.96,13.72,0,3.92,0,0,0,0,1.96
