stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,103.85,0,31.47,0,6.29,0,0,0,0,0,53.5,0,0,0,0,0,0,0,0,0,0,0,538.13,0,0,0,31.47,0,25.18,0,22.03,0,0,0,0,0,0,0,0
 14-21,0,0,5,1090,44,0,3,0,16,0,2,68,6,1,0,9,0,3,0,0,106,2,0,45,140,0,6,13,10,0,150,9,11,0,24,97,0,0,0,0,0
 24-34,0,0,0,250.36,3.28,0,12.31,0,29.55,0,5.75,9.03,0.82,4.1,0,0.82,1.64,37.76,0,0.82,128.05,0,5.75,9.03,206.86,0.82,6.57,49.25,0,0.82,36.94,0,3.28,0.82,1.64,229.02,0,0,7.39,0,0
 36-46,0,0,0.81,94.26,0.81,0,60.43,0,8.06,1.61,4.03,7.25,0,3.22,0,0.81,0,20.95,0,0,180.47,3.22,13.7,20.14,188.53,1.61,2.42,31.42,0,0.81,23.36,0,1.61,0.81,0,468.09,0,1.61,0.81,0,0
 48-58,0,0,0.57,47.05,1.15,0,464.21,0.57,6.31,2.3,33.28,1.72,1.15,0.57,1.72,0.57,0.57,14.35,0.57,0.57,218.05,0.57,21.23,39.59,259.36,0,1.15,33.28,0,4.02,12.62,0,0,0,0,488.88,0,1.15,1.15,1.15,5.16
 60-70,0,0,0,15.7,0,0,716.51,11.78,4.91,2.94,19.63,4.91,0.98,2.94,0.98,0,0,7.85,0.98,0,191.4,0,23.56,17.67,190.42,0,0.98,26.5,0,0.98,6.87,0,0.98,0,0,312.12,0,11.78,0,3.93,0.98
 72-82,0,0,0.98,19.63,1.96,0,482.98,11.78,2.94,5.89,18.65,2.94,0.98,0.98,0,0.98,0,9.82,0.98,0,221.86,0.98,30.43,24.54,188.48,0,0,44.17,0,3.93,7.85,0,0.98,0,0,287.63,0.98,24.54,4.91,19.63,0.98
 84-94,0,3.19,0,26.55,4.25,0,460.92,20.18,5.31,7.43,30.8,6.37,3.19,1.06,2.12,1.06,0,16.99,0,1.06,157.18,0,25.49,23.36,157.18,1.06,1.06,41.42,0,1.06,20.18,0,4.25,0,0,164.62,0,22.3,4.25,14.87,0
 96-106,0,0,0,22.95,3.28,1.09,234.96,16.39,6.56,4.37,15.3,6.56,0,0,2.19,1.09,0,14.21,2.19,1.09,142.07,1.09,16.39,13.11,121.31,0,2.19,44.81,0,4.37,33.88,0,2.19,0,0,98.36,1.09,7.65,1.09,17.49,1.09
108-118,0,0,0,16.85,1.53,0,187.66,10.72,6.13,3.83,16.85,9.96,0,1.53,1.53,0,1.53,9.19,0.77,0,105.7,0,10.72,8.43,163.15,0,0.77,38.3,0,5.36,13.79,0,7.66,0,0,75.83,0,9.96,0,13.79,0
120,1.96,0,0,13.72,0,0,146.98,15.68,7.84,5.88,13.72,3.92,0,1.96,0,0,0,13.72,0,0,76.43,0,9.8,0,119.55,5.88,1.96,21.56,0,3.92,13.72,0,1.96,0,0,78.39,1.96,7.84,3.92,17.64,0
