stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,3426.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685.25,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,343.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,410.69,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,7.89,0,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,120.92,2.63,0,0,21.03,0,63.09,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,18.88,0,0,0,28.32,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,550.72,0,0,0,28.32,0,40.91,0,6.29,0,0,0,0,0,0,0,0
 14-21,1,0,2,9,334,1,0,8,0,8,0,3,11,3,0,0,51,0,0,0,0,2,8,0,5,60,2,3,11,1,0,418,0,13,3,3,19,0,0,2,0,0
 24-34,0,0,3.28,6.57,95.22,0.82,0,23.8,0,17.24,0,9.03,2.46,0,2.46,1.64,146.93,0,10.67,1.64,0,34.48,44.33,0,16.42,222.45,9.03,52.53,14.78,0,0.82,738.77,0,41.04,1.64,3.28,63.21,0,0,18.06,0,0
 36-46,0,0,0.81,2.42,37.87,0,0,19.34,0.81,5.64,0.81,17.72,4.83,0.81,0.81,5.64,73.32,0.81,12.89,2.42,0,35.45,26.59,0.81,8.86,116.82,8.06,47.53,11.28,0,0,588.94,0,17.72,0,0,38.67,0,0,6.45,0,0
 48-58,0,0,1.15,1.15,36.72,0.57,0,36.72,0,18.94,0.57,37.3,1.72,12.62,1.72,5.74,28.12,0,14.92,5.16,0,56.81,24.1,0.57,9.18,88.94,6.31,31.56,12.62,0,0.57,479.7,0,8.03,0.57,0,27.54,0,0,2.87,0,1.72
 60-70,0,0,1.96,0,63.8,3.93,0,82.45,1.96,20.61,0,120.73,21.59,4.91,0.98,9.82,33.37,0.98,20.61,5.89,0,78.52,16.69,0.98,6.87,94.23,6.87,34.35,15.7,0,0,422.05,0,8.83,0,0,19.63,1.96,1.96,4.91,0,0
 72-82,0,0,19.63,0,113.87,29.45,0.98,141.36,0.98,17.67,7.85,211.06,114.85,3.93,2.94,22.58,89.33,2.94,51.05,21.6,0.98,149.21,36.32,5.89,6.87,174.74,1.96,84.42,51.05,0,0,526.17,0,21.6,0,0,26.5,16.69,2.94,18.65,5.89,2.94
 84-94,0,0,9.56,2.12,242.14,28.68,0,115.76,2.12,52.04,4.25,140.19,251.7,6.37,3.19,40.36,144.44,6.37,55.23,45.67,1.06,124.26,48.85,2.12,6.37,96.65,9.56,97.71,47.79,0,1.06,1366.84,1.06,35.05,0,0,16.99,48.85,3.19,8.5,6.37,5.31
 96-106,0,0,9.84,3.28,358.45,41.53,4.37,153,2.19,67.76,7.65,227.31,507.08,1.09,8.74,52.46,213.11,4.37,100.54,49.18,2.19,165.02,63.39,3.28,7.65,203.27,12.02,190.16,92.89,0,9.84,1342.02,0,22.95,0,0,25.14,80.87,1.09,30.6,7.65,9.84
108-118,0,0,7.66,4.6,337.02,28.34,7.66,111.83,0.77,95.75,6.89,193.79,589.03,0,2.3,38.3,185.36,9.96,61.28,62.04,2.3,132.51,55.15,5.36,16.09,177.7,20.68,124.09,65.87,0,0,1118.31,0,37.53,0.77,0,17.62,84.26,7.66,26.04,3.06,10.72
120,0,0,3.92,1.96,246.93,25.48,5.88,90.15,1.96,72.51,7.84,119.55,337.08,0,7.84,47.03,96.03,7.84,45.08,39.2,1.96,107.79,21.56,7.84,7.84,162.66,27.44,74.47,43.12,0,3.92,727.08,0,29.4,1.96,0,7.84,23.52,7.84,15.68,1.96,1.96
