stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
 14-21,1,33,6,14,0,0,0,5,0,1,0,0,0,15,0,0,13,177,6,0,1,6,20,27,2,12,67,0,1,0
 24-34,0.82,4.93,1.64,81.26,0,0.82,0.82,8.21,0.82,0,0,0,0,39.4,0.82,0,14.78,498.26,0.82,0.82,4.93,0,8.21,0,0,4.93,109.99,0,3.28,0
 36-46,0,4.03,2.42,155.49,0,0,0.81,9.67,0,0,0,0.81,0.81,29.81,0,2.42,6.45,332.74,1.61,1.61,0,0,3.22,0,0.81,0,82.18,0,1.61,0
 48-58,0,6.31,2.3,212.88,1.15,0,0,9.75,0.57,0,0,0.57,0,29.84,0,1.15,4.59,149.76,0,0.57,1.15,0,1.15,0,0,0,29.84,0,0.57,0
 60-70,0,2.94,0.98,160.97,0,0.98,0,7.85,0.98,0,0.98,0,0,39.26,0,1.96,0.98,87.36,0,0.98,0,0,1.96,0,0,0,5.89,0,0.98,0
 72-82,0,5.89,0.98,51.05,0,0,0,8.83,0,0,0,0.98,0.98,22.58,0,1.96,4.91,65.77,0,0,0,0,0.98,0,0,0,0.98,0,0.98,0
 84-94,0,5.31,3.19,54.16,0,0,2.12,9.56,3.19,0,1.06,0,1.06,18.05,1.06,3.19,3.19,38.23,1.06,0,0,0,0,0,0,0,1.06,0,3.19,1.06
 96-106,0,2.19,1.09,19.67,0,0,0,6.56,0,2.19,2.19,0,2.19,12.02,0,0,1.09,25.14,0,1.09,1.09,0,1.09,0,0,0,0,0,1.09,0
108-118,0,1.53,2.3,29.87,0,0,0.77,6.89,2.3,0,0,0.77,0.77,8.43,0,0.77,3.83,38.3,0,0.77,0,0,0.77,0,0,0,0,0.77,3.06,0
120,0,1.96,5.88,60.75,3.92,0,0,5.88,0,0,5.88,1.96,0,11.76,0,0,0,88.19,0,0,0,0,0,0,0,0,0,0,0,0
