stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,10.51,0,0,5.26,0,0,0,0,5.26,0,0,0,0,0,0,0,0,55.2,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,15.73,0,3.15,31.47,0,0,0,0,0,0,0,0,0,3.15,0,0,0,267.49,15.73,0,0,56.65,0,0,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,0,3,7,13,9,1,0,70,0,0,0,0,0,0,1,9,0,2,113,4,2,18,17,0,0,0,9,82,4,215,0,0,0,0,0
 24-34,0,0,0,0,6.57,0,2.46,0,2.46,86.19,0.82,0,0,0,0.82,1.64,0.82,10.67,0,1.64,54.18,1.64,11.49,4.1,0,0,2.46,0,0,96.04,4.93,204.39,0,0,0.82,0,0
 36-46,0,0,0,0,3.22,0,6.45,0.81,1.61,52.37,0.81,0,0,0,0,0,0,3.22,3.22,1.61,39.48,0,13.7,8.06,0,0,0.81,0,0,53.98,0.81,104.74,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,16.07,0.57,1.72,59.68,0,0,0,0,0,2.87,0,5.16,0,0.57,32.71,0,14.92,10.33,0,0.57,0,0,0,17.79,0,88.94,0,0,0,0,0.57
 60-70,0,0,0.98,0,0.98,0,18.65,0,3.93,65.76,0,0,0,0,0.98,9.82,0,6.87,3.93,0,39.26,0,24.54,15.7,0,1.96,0.98,0,0,11.78,0,74.6,0,0,0.98,0.98,0
 72-82,0,0,2.94,0,0.98,0,18.65,0.98,5.89,76.57,4.91,0,0.98,1.96,0,19.63,0.98,7.85,2.94,0.98,28.47,0,36.32,34.36,0,0.98,0,0,0,10.8,0,50.06,0,0,0.98,1.96,0
 84-94,0,0,4.25,1.06,1.06,0,33.99,0,5.31,60.54,3.19,0,0,0,1.06,13.81,0,3.19,4.25,0,20.18,0,41.42,49.92,0,1.06,1.06,0,0,26.55,0,42.48,1.06,1.06,0,0,0
 96-106,0,0,2.19,4.37,0,0,21.86,1.09,3.28,39.34,1.09,0,0,0,1.09,26.23,0,5.46,2.19,0,18.58,1.09,65.57,55.74,0,1.09,1.09,1.09,0,19.67,0,48.09,0,0,0,1.09,0
108-118,0,0,0,1.53,2.3,1.53,16.85,0,1.53,32.17,1.53,0,0,0,2.3,17.62,0,1.53,2.3,0,19.15,0,41.36,39.06,0,0,0,0.77,0,14.55,0,23.74,0,0,0.77,1.53,0
120,0,0,0,0,5.88,0,5.88,0,0,23.52,1.96,0,0,0,0,19.6,1.96,3.92,3.92,0,17.64,0,23.52,39.2,0,0,0,0,0,9.8,0,31.36,0,1.96,1.96,0,0
