stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,1,2,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,42.68,0,0.82,0,0,0,0,0,7.39,0,0
 36-46,0,0,0,0.81,0,3.22,0,0,2.42,0,0,0,0,3.22,0,0,0.81,139.38,0,0.81,0,0,0,0,0,31.42,0,0
 48-58,0,0,0,0,0,9.75,0.57,0,1.15,0,0,0.57,0,0.57,0,0,1.15,189.93,0,0,0,0,0,0,0,31.56,0,0
 60-70,0,0,0,0,0,27.48,0,0,4.91,0,0,0,0,6.87,0,0,0.98,367.09,0,0.98,0,0,0.98,0,0,41.22,0.98,0.98
 72-82,0,0,0,0,0,34.36,0,1.96,9.82,0,0,0,0,6.87,0,0,1.96,331.8,0,1.96,0.98,0,0,0,0,30.43,0,0
 84-94,0,0,0,1.06,0,41.42,0,0,4.25,0,0,0,0,7.43,0,1.06,0,146.56,0,2.12,1.06,0,0,0,0,20.18,0,0
 96-106,0,0,0,0,0,26.23,0,1.09,2.19,0,1.09,0,0,5.46,1.09,0,2.19,121.31,0,0,1.09,0,1.09,0,0,5.46,0,0
108-118,0,0,0,1.53,0,23.74,0.77,0,1.53,0.77,0,0,0,3.06,0,0,2.3,154.72,0,1.53,0,0,0.77,0,0,3.06,0,0
120,0,0,0,0,1.96,29.4,0,0,5.88,0,0,0,0,3.92,0,0,0,145.02,0,1.96,0,0,0,0,0,1.96,0,0
