stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,751.14,10647.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448.05,0,0,0,0,0,0,0,0,0,0
  5-6,637.48,8716.34,0,6.13,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,239.06,36.78,0,0,91.94,0,140.98,0,0,0,0,0,0,0,0,0,0
  7-9,68.35,47.32,0,115.66,0,0,186.64,0,0,0,0,0,60.46,0,0,0,0,0,0,0,0,0,0,0,1850.61,63.09,0,0,678.21,0,2.63,18.4,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,37.76,0,3.15,56.65,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,604.22,22.03,0,0,147.91,0,0,15.73,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,29,280,44,71,0,0,0,8,14,0,2,0,41,0,0,0,1,97,0,0,64,540,22,0,6,14,0,0,11,34,3,0,58,152,0,20,0,2
 24-34,0,0,0.82,16.42,132.16,5.75,75.52,0,1.64,1.64,5.75,13.95,0,6.57,0.82,0,1.64,3.28,2.46,3.28,140.37,1.64,1.64,71.41,490.05,8.21,0.82,3.28,0,0.82,0.82,0.82,1.64,1.64,0,12.31,100.97,0,41.04,0,2.46
 36-46,0,0,0,0.81,30.62,0,35.45,0,0.81,4.03,5.64,1.61,0,11.28,0,0,1.61,1.61,1.61,0.81,97.49,0,2.42,34.64,186.92,4.03,0,0.81,0.81,0.81,1.61,1.61,0.81,1.61,0,0,49.95,0,33.03,0,2.42
 48-58,0,0,0,0,12.62,0,27.54,0.57,3.44,6.31,16.64,2.3,0,10.33,1.15,0,2.87,0.57,0.57,0,119.35,0.57,1.15,29.26,61.4,4.02,0,2.87,0,0,0,0.57,0,2.3,0,0,16.07,0,24.1,0,1.72
 60-70,0,0,0,0.98,6.87,0,37.3,0,0.98,13.74,36.32,1.96,0,5.89,0.98,0,0,0,0,0,202.19,0,1.96,22.58,60.85,0.98,0,0.98,0,1.96,0,0,0,0.98,0.98,0,7.85,5.89,31.41,2.94,1.96
 72-82,0,0,0.98,0,7.85,1.96,63.81,0,3.93,19.63,89.33,0.98,0,7.85,0,0,2.94,0,0,1.96,295.48,0,8.83,43.19,43.19,5.89,1.96,1.96,0,4.91,0.98,0.98,0.98,0,0,0,5.89,8.83,60.86,8.83,1.96
 84-94,0,0,0,1.06,23.36,0,64.78,0,8.5,12.74,59.47,1.06,0,11.68,2.12,1.06,2.12,0,0,2.12,229.4,0,8.5,39.3,32.92,6.37,0,7.43,0,4.25,0,0,0,11.68,0,0,6.37,5.31,60.54,6.37,0
 96-106,0,0,0,0,24.04,2.19,86.33,0,9.84,18.58,104.91,0,0,14.21,2.19,4.37,3.28,2.19,1.09,0,358.45,0,7.65,37.16,53.55,4.37,4.37,5.46,0,14.21,1.09,0,0,1.09,0,0,12.02,3.28,96.17,12.02,1.09
108-118,0,0,0,0.77,34.47,0,96.51,0,14.55,23.74,128.68,2.3,0,6.13,0.77,3.06,6.13,0,4.6,1.53,359.24,0,6.13,38.3,62.81,7.66,2.3,1.53,0,16.09,0.77,1.53,0,8.43,0,0,6.89,3.83,74.3,12.26,3.06
120,0,0,0,0,29.4,3.92,43.12,0,19.6,11.76,131.31,1.96,0,7.84,1.96,1.96,3.92,1.96,3.92,0,282.21,3.92,1.96,41.16,45.08,7.84,0,5.88,1.96,13.72,3.92,0,0,0,0,0,1.96,5.88,58.79,11.76,0
