stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,14,0,0,0,0,0,0,0,6,0,0,0
 24-34,0,0,1.64,0,0,53.36,0,0,0.82,0,0,0,0,0,0,0,2.46,0,0,0,65.67,0,0,0.82,0,0,1.64,0,16.42,0,1.64,0.82
 36-46,0,0,0.81,0,0,96.68,0,0,1.61,0,0.81,0,0.81,0,0,0,7.25,0,0,0,84.6,0.81,0,0,0,0,1.61,0,24.98,0,0,0
 48-58,0,0,1.15,0.57,0,95.83,0,0.57,4.59,0,0,0,0.57,0,0.57,1.72,3.44,0,0,1.72,49.35,0,0.57,0,0,0,0.57,0,8.03,0,0.57,1.15
 60-70,0,0,0,0,0,106.99,0.98,0,1.96,0,0,0,0,0,0,0,4.91,0,0,0,25.52,0,0,0,0,0,1.96,0,2.94,0,0.98,0.98
 72-82,0,0,0.98,1.96,0,108.96,0,0,4.91,0,0,0.98,0,0,0,0,7.85,0.98,0,0.98,27.49,0,0,0,0,0,0.98,0.98,4.91,0,0.98,0
 84-94,0,1.06,1.06,0,0,104.08,0,0,2.12,0,0,0,0,0,0,1.06,5.31,0,1.06,2.12,16.99,0,0,0,0,0,1.06,0,1.06,0,0,1.06
 96-106,0,1.09,0,0,1.09,71.04,0,0,7.65,0,0,1.09,0,0,0,0,7.65,0,0,0,12.02,0,0,0,0,1.09,2.19,0,0,0,0,0
108-118,0,0,2.3,1.53,0,79.66,0,0,0.77,1.53,0,0,1.53,0,0,0,5.36,0,0,0,19.15,0,0,0.77,0,0,3.06,0,0,0.77,0.77,0.77
120,0,0,3.92,3.92,0,64.67,0,1.96,0,0,0,0,0,1.96,1.96,0,0,0,0,0,23.52,0,0,0,0,0,0,0,0,0,1.96,0
