stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,immune,iridophores,mesenchyme,muscle,neural,notochord,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,12,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0.82,0.82,0.82,0.82,0,0,0,0,0.82,5.75,0,0.82,0,0
 36-46,0,2.42,0,0,0,0,0,0,0,0.81,0.81,1.61,0,0,0,0,0,1.61,0.81,0,0,0,0.81
 48-58,0,2.87,1.15,0.57,0.57,0,0,0,0.57,2.87,1.72,1.15,0.57,0.57,0.57,0,0,0.57,0,0,0.57,0,3.44
 60-70,0,3.93,0,0,0,0,0,0,0,0,2.94,2.94,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,2.94,13.74,0,0,2.94,0,0,0.98,6.87,1.96,3.93,0,0,0,0,0,0,0,0,1.96,0,0.98
 84-94,0,2.12,6.37,1.06,1.06,0,0,0,0,3.19,4.25,1.06,1.06,0,0,0,0,0,0,0,0,2.12,0
 96-106,0,3.28,5.46,0,0,2.19,1.09,1.09,0,0,3.28,2.19,0,0,0,0,0,0,0,1.09,0,1.09,0
108-118,0,5.36,3.83,0,1.53,0.77,0,0.77,0,3.83,2.3,1.53,0,0,0,0,0.77,0,0,0,0,0,1.53
120,0,0,3.92,0,1.96,1.96,0,0,0,3.92,3.92,1.96,0,0,0,0,0,0,0,0,0,0,0
