stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,7.89,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,9.44,0,0,0,0
 14-21,0,1,1,3,0,2,0,0,0,0,0,0,3,0,0,24,0,1,1,0,0,7,0,0
 24-34,0,0.82,0,4.1,0,0.82,0.82,0,0,0,0.82,0,4.1,0,0,39.4,0,0.82,2.46,0,1.64,9.85,0,0.82
 36-46,0,0.81,0,10.47,0,0.81,0,0.81,0,0,0,0,2.42,0,0.81,60.43,0,0.81,0,0,1.61,10.47,0,0
 48-58,0,0,0,9.75,0,5.74,0,0,0,0,0,0.57,1.72,0,1.15,41.31,0,1.15,0,0,0,2.87,0,0.57
 60-70,0,0,0,21.59,0,0.98,0,0,0,0,0,0,4.91,0,0,48.09,0,0.98,0,0,0,4.91,0,0
 72-82,0,0,0,17.67,0.98,1.96,0,0,0,0,0,0,1.96,0.98,0,20.61,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,11.68,0,0,0,0,1.06,0,0,0,2.12,0,1.06,8.5,0,0,0,0,0,2.12,0,0
 96-106,0,1.09,2.19,6.56,0,1.09,1.09,0,4.37,0,0,1.09,3.28,0,1.09,5.46,0,0,1.09,0,1.09,0,0,0
108-118,0,0.77,0.77,6.13,0,0.77,0,0,2.3,0,0,0,1.53,0,0,18.38,0,0,0.77,0,0,0.77,0,0
120,0,0,0,5.88,0,0,0,0,0,1.96,0,0,1.96,0,1.96,15.68,0,0,0,0,0,0,0,0
