stage,endoderm,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,13,0,0,1,3,0,1,8,0,0,0
 24-34,0,0,4.93,0,0,1.64,0,0,0,0,0,0,4.93,0,0,0.82,45.15,0,0.82,0,0.82,0,0,10.67,0,0,0
 36-46,0,0.81,13.7,0,0,2.42,0,0,0.81,0,0,0,8.86,0,0,1.61,49.15,0.81,0.81,0,0,0.81,0,12.09,0,0,0
 48-58,0,0,21.8,0,0,5.74,0,0,0,0,0,0,9.18,0,0.57,1.15,41.31,0.57,1.15,0,0,0,0,11.48,0.57,0,0
 60-70,0,1.96,29.45,0.98,0,4.91,0.98,0,0,0,0.98,0,11.78,0,0,0,45.15,0.98,0,0,0,0,0,5.89,1.96,0,0
 72-82,0,0,13.74,0,0,3.93,0,0,0,0,0,0,15.71,0,0.98,2.94,29.45,0.98,0.98,0,0,0,0,4.91,0.98,0.98,0
 84-94,0,0,14.87,0,1.06,5.31,5.31,0,0,2.12,0,0,10.62,0,0,1.06,13.81,0,1.06,0,0,0,0,1.06,0,0,0
 96-106,0,0,10.93,0,0,7.65,0,0,1.09,0,0,0,10.93,0,0,1.09,12.02,1.09,2.19,0,0,1.09,0,0,0,0,1.09
108-118,0,0.77,5.36,0,0,3.06,1.53,0.77,0,0,0.77,0.77,4.6,0.77,0,1.53,13.79,0,0.77,0,0,0.77,0,0,0,0,0
120,0,0,3.92,0,0,3.92,1.96,0,3.92,0,0,0,1.96,0,0,1.96,13.72,0,0,0,0,0,0,1.96,0,0,0
