stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,immune,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,12.26,0,12.26,0,0,0,0,0,0,0
  7-9,5.26,0,10.51,0,0,0,0,0,0,0,44.69,5.26,60.46,0,0,0,0,0,0,0
 10-12,0,6.29,6.29,0,0,0,0,0,0,0,37.76,6.29,154.2,0,3.15,12.59,0,3.15,0,0
 14-21,0,0,0,1,0,0,0,0,0,2,3,4,3,0,54,0,1,65,4,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,2.46,0,0,0,0,0,0,12.31,0.82,0
 36-46,0,0,0,0,0,0.81,0,0,0,0.81,0.81,0,0,0,0,0,0,0,1.61,0
 48-58,0,0,0,0,0.57,0,0.57,0,0.57,0,2.3,0,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,1.06,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,1.53,0,3.06,0,0,0.77,0,0,0,0,0,1.53
120,0,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0
