stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,6.29,0,28.32,0,0,0,0,0,0,0
 14-21,0,6,47,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,1,5,12,0,0,0,0,3,1,0,8,1,0,0,14,0
 24-34,0,10.67,5.75,0,0,1.64,0,0,0,0,9.85,0,0,0,0,18.88,0.82,0,2.46,4.1,0.82,0,0,0.82,0,0,0,0,3.28,1.64,0,0,108.35,0
 36-46,0,4.83,0.81,0,0.81,0.81,1.61,0,0,0,1.61,0,0,0,0,7.25,0,0,0.81,7.25,0,0,0,0,0,0,0,0,0,1.61,0,0,131.32,0
 48-58,0,5.16,0,0,2.3,0,2.87,1.72,0,0,2.3,0,0,0,0,5.16,0,0.57,5.16,8.03,0.57,0,0,0,0.57,0,0,0,0,0.57,0,1.15,118.78,0
 60-70,0,3.93,0,0,0.98,0,2.94,0,0,0,1.96,0,0,0,0,1.96,0.98,2.94,4.91,3.93,0,0,0,0,1.96,0,0,0,0,0,0,0,115.82,0
 72-82,0,2.94,0,0,6.87,0,6.87,4.91,0.98,0,4.91,0.98,0,0,0,5.89,0,0,4.91,11.78,0,1.96,0,0,0,0,0,0,0,0,0,0.98,226.76,0
 84-94,0,3.19,0,0,4.25,0,3.19,2.12,0,0,1.06,0,0,0,0,3.19,0,1.06,4.25,7.43,0,0,0,0,0,0,0,0,0,1.06,0,2.12,201.79,1.06
 96-106,0,2.19,2.19,2.19,7.65,0,3.28,4.37,2.19,0,1.09,1.09,1.09,1.09,0,6.56,0,0,0,10.93,0,1.09,0,0,3.28,0,2.19,0,0,0,0,0,240.43,3.28
108-118,0,6.13,0,0,6.13,0.77,4.6,4.6,2.3,0,0,0.77,0,0,0.77,4.6,0,0.77,0.77,3.06,0,0.77,0,0,0,0,1.53,0,0,0.77,0.77,0,186.89,1.53
120,0,3.92,0,0,1.96,0,3.92,0,1.96,1.96,1.96,1.96,0,0,0,5.88,0,0,1.96,9.8,0,0,0,0,0,0,0,1.96,0,1.96,0,0,262.61,1.96
