stage,endoderm,epidermis,eye,fin_epithelia,glial,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,12,13,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0,0,1.64,0.82,0,0,0.82
 36-46,0,0,0.81,0,0,0,0,0.81,0,2.42,4.03,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,4.02,0,0.57,1.72,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0.98,0,0,7.85,0,0.98,1.96,0,0,0,0,0,0,0,0,0
 72-82,0,0,4.91,0,0,10.8,0,9.82,0,0,3.93,0,0,0,0,0,0,0,0,0
 84-94,0,0,3.19,1.06,3.19,16.99,0,7.43,1.06,0,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,1.09,2.19,0,1.09,37.16,0,7.65,0,1.09,4.37,0,0,0,0,0,0,0,1.09,4.37
108-118,0.77,0.77,2.3,0.77,2.3,45.96,0,3.06,0,0,3.83,0,0.77,0.77,0,0,0,0.77,0,0.77
120,0,0,1.96,0,1.96,35.28,1.96,5.88,0,0,3.92,0,0,0,0,0,0,0,0,3.92
