stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,otic,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,44,0,0,49,0,0,0
 24-34,1.64,0.82,0.82,0,0,0,0,0,0,0,0,0.82,0.82,0,0,198.65,0,0.82,49.25,0,0,0
 36-46,0.81,0,1.61,0,0,0,0,0,0,0,0,6.45,0,0,0,312.6,0,0.81,40.28,0,0,0
 48-58,0.57,0,14.92,0,2.3,0,0,0,0,0,0,5.74,0,0,0.57,201.98,0,0,48.2,0,0,0
 60-70,0.98,0,117.78,0,0.98,0,0,0.98,0,0,0,5.89,0,0,0,107.97,0,0,27.48,0,0.98,0
 72-82,1.96,0,376.96,0.98,4.91,0,0.98,0,0,0,0,7.85,0,0,2.94,89.33,0.98,0.98,6.87,0,0.98,0
 84-94,1.06,0,272.94,1.06,7.43,1.06,0,0,1.06,1.06,0,9.56,0,1.06,0,38.23,0,1.06,6.37,0,2.12,0
 96-106,1.09,2.19,244.8,0,14.21,0,0,2.19,0,0,1.09,3.28,0,0,0,39.34,0,2.19,2.19,0,0,0
108-118,1.53,0,152.43,0.77,9.96,0,0,0.77,0,0,0,0,0,0,0.77,22.98,0,0.77,0.77,0.77,0,0.77
120,3.92,0,125.43,0,9.8,0,0,0,0,0,0,3.92,0,0,1.96,21.56,0,0,9.8,0,0,0
