stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,3,6,0,0,10,0,0,2,1,0,0,0,0,0,0,8,0,4,76,2,1,0,1,5,1,1,1,4,20,0,0,0
 24-34,1.64,3.28,2.46,0,49.25,0,0,5.75,0.82,0,0.82,0,0,0,0,31.19,0,6.57,308.64,0,1.64,1.64,0,6.57,0,0.82,0,0.82,64.03,1.64,0,0.82
 36-46,0,2.42,6.45,0,107.96,0,0,4.83,0,0,0,0,1.61,0,0,17.72,1.61,3.22,208.67,0,3.22,0.81,0,4.03,0,0,0,0,42.7,2.42,0,0.81
 48-58,0,0.57,0.57,0,128.53,0.57,0.57,4.59,0,0.57,0,0,0,0.57,0,17.21,1.15,1.15,89.51,0,0,0.57,0,0.57,0,0,0.57,0,9.75,1.15,0,0
 60-70,0,7.85,0.98,0,89.32,0,0,5.89,0.98,0,0.98,0.98,0,0,0.98,18.65,1.96,3.93,60.85,0,0.98,0,0,0,0,0,0,0,4.91,0,0,0
 72-82,0,2.94,0,0,29.45,0,0.98,5.89,0,0,0,0,0,0,0,7.85,0,2.94,42.21,0,0,0.98,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,4.25,0,0,25.49,0,0,0,0,0,2.12,2.12,0,0,0,16.99,1.06,2.12,25.49,0,0,1.06,0,0,0,0,0,0,0,1.06,2.12,0
 96-106,0,2.19,0,0,9.84,0,0,2.19,0,1.09,0,0,0,0,0,5.46,1.09,0,14.21,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,1.53,0.77,13.79,0,0,2.3,0.77,0,0,0.77,0.77,0.77,0.77,3.83,0,1.53,13.79,0,0,0.77,0,0,0,0,0.77,0,0,2.3,0,0
120,0,1.96,1.96,0,27.44,0,0,11.76,0,0,3.92,0,0,0,0,3.92,0,1.96,47.03,0,0,1.96,0,0,0,0,0,0,0,5.88,0,0
