stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,1,1,11,0,0,0,0,0
 24-34,0,0.82,0.82,0,0,0,0,0,0.82,0,0,0,0.82,0.82,0,0,0.82,17.24,0,0.82,0,0,2.46,0,0.82,4.1,0,0,0,0,1.64
 36-46,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0.81,22.56,0,1.61,0,0,0,0,0,4.03,0,0,0,0,0
 48-58,0,0,0.57,0,9.18,0,1.15,0,0.57,0,0.57,0,0,1.15,0,0,0.57,26.4,0,1.15,0,0,1.72,0,0,3.44,0,0,0,0,0
 60-70,0,0,0.98,0,54.97,0,0,0,0.98,0,1.96,0,0.98,0,0,0,0,51.04,0,0,0,0,0,0,0,5.89,0,0,0,0,0
 72-82,0,1.96,4.91,0,140.38,0.98,0.98,0,11.78,0,9.82,0,0,4.91,0,0,0,98.17,0,0.98,1.96,0,0,0,0,9.82,0,0.98,0.98,0,0
 84-94,0,1.06,14.87,1.06,47.79,0,5.31,1.06,8.5,0,10.62,0,0,6.37,0,1.06,1.06,48.85,0,0,0,0,1.06,0,0,3.19,0,0,1.06,0,0
 96-106,0,1.09,33.88,0,37.16,0,5.46,0,8.74,2.19,12.02,1.09,1.09,8.74,0,2.19,0,45.9,1.09,3.28,1.09,0,2.19,0,0,3.28,1.09,1.09,1.09,0,1.09
108-118,0,0.77,36,0,33.7,0,8.43,0.77,13.79,0.77,12.26,0,0,6.89,1.53,0,0.77,81.96,0,2.3,3.06,0,1.53,0,0,2.3,0,1.53,0.77,0,0
120,0,1.96,47.03,1.96,13.72,0,15.68,0,3.92,0,5.88,0,0,0,0,1.96,0,54.87,0,0,0,0,0,0,0,1.96,1.96,0,0,3.92,0
