stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,214.54,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,2.63,2.63,7.89,0,21.03,0,5.26,0,0,123.55,2.63,0,76.23,0,0,0
 10-12,0,3.15,0,0,9.44,0,0,0,0,72.38,0,0,22.03,0,0,0
 14-21,0,0,0,0,1,0,0,1,0,6,0,0,0,0,2,3
 24-34,0,0,0,0,3.28,0,0,0,0,2.46,0,0.82,0,0,0,0.82
 36-46,0,0,0,0,0,0.81,0,0,1.61,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,1.72,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,1.96,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0,0.77,0.77,0.77,0,0,0,0,0,0
