stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,lateral_line,liver,mesenchyme,mural_cell,neural,notochord,olfactory,periderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0,11.49,0,0,0,0.82,4.93,0,0,0,0
 36-46,0,0.81,0.81,0,0.81,0,0,0,0,0,0,0,0,0.81,0,42.7,0,0.81,0,0,12.09,0,0,0,0
 48-58,0,0,0,0,4.59,0.57,0,0,0,0,0,0,0,1.72,0,79.19,0,0.57,0,0,10.9,0,0,0,0
 60-70,0,0.98,0,0,16.69,0,0,0,0,0,0,0,0,2.94,0,138.39,0.98,0,0,0,16.69,0,0,0,0
 72-82,0.98,0.98,0,0,19.63,0,0,0,0,0,0,0.98,0,0.98,0,123.69,0,0.98,0.98,0,6.87,0.98,0,0,0.98
 84-94,0,3.19,1.06,0,15.93,0,0,1.06,0,0,1.06,0,0,2.12,0,52.04,0,0,1.06,0,7.43,0,0,1.06,0
 96-106,0,0,1.09,0,10.93,0,1.09,2.19,0,1.09,0,0,0,1.09,1.09,41.53,0,0,0,0,2.19,1.09,1.09,0,0
108-118,0,0,0,0.77,7.66,0,0,0,0,0,0,0,0.77,0,0,41.36,0,0,0.77,0,2.3,0,0,0,0
120,0,0,0,0,13.72,0,0,1.96,1.96,0,0,0,0,1.96,0,64.67,0,0,0,0,1.96,0,0,0,0
