stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,15.77,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,15.73,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,3,2,0,2,0,0,2,0,1,0,1,0,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,0,4.93,0,0,1.64,0,1.64,0,0,0,0,0,1.64,0,0,4.1,17.24,0,0.82,0,0,0,0.82,0,0,27.09,0,10.67,0,0,0.82,0,0
 36-46,0,0,0,3.22,0,0,1.61,46.73,0,0,0.81,0.81,0,0,0,0,0.81,0,6.45,0,0,6.45,14.5,0,0.81,0.81,0,0,1.61,0,0,43.51,0,6.45,0,0,1.61,0,0
 48-58,0,0,0,1.15,0,0,19.51,75.74,0.57,0,4.02,0.57,1.72,0,0,0,0,0,5.74,0,0,9.18,57.95,0,0.57,0.57,0,0,2.87,0,0,77.46,0,15.49,0,0.57,0.57,0,0.57
 60-70,0,0,0,0,0,0,21.59,71.65,0.98,0,1.96,0,0,0,0,0,0,0.98,5.89,0,2.94,7.85,39.26,0,0,0.98,0,0,0,0,0,40.24,0,11.78,0,0,1.96,2.94,0
 72-82,0,0,0,0.98,0,0,17.67,59.88,0,0.98,8.83,0,0,0,0,0.98,0,0,12.76,0,4.91,6.87,41.23,0,0.98,0.98,0,0,1.96,0,0,21.6,0,5.89,0.98,1.96,0,6.87,0
 84-94,0,0,0,2.12,1.06,0,15.93,73.28,1.06,2.12,5.31,0,2.12,1.06,1.06,0,0,1.06,11.68,1.06,1.06,11.68,14.87,0,0,0,0,0,2.12,0,0,33.99,0,2.12,0,2.12,0,5.31,0
 96-106,0,0,0,6.56,5.46,0,14.21,100.54,1.09,0,8.74,1.09,3.28,2.19,0,0,0,0,8.74,1.09,4.37,8.74,51.36,0,0,0,0,0,9.84,0,0,34.97,0,6.56,0,1.09,2.19,15.3,0
108-118,0,0,0,1.53,1.53,0.77,12.26,75.83,0,0.77,12.26,1.53,0.77,1.53,0,0,0.77,0,7.66,0,1.53,19.15,23.74,0,0.77,2.3,0,0,1.53,0,0.77,36,0,3.83,0.77,0,0,6.13,0
120,0,0,0,7.84,1.96,0,1.96,76.43,0,0,21.56,0,1.96,3.92,0,0,1.96,0,7.84,0,3.92,3.92,60.75,0,0,3.92,0,1.96,1.96,1.96,3.92,19.6,0,7.84,0,0,0,3.92,0
