stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,vasculature
  3-4,13.18,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,0,0,4,0,1,0,0,1,0,1,14,144,0,0,2,1,0,0,2,5,4
 24-34,0,0,0,1.64,1.64,1.64,0,0,3.28,0.82,0,0,0,0.82,0,0.82,15.6,41.04,3.28,0,0,1.64,0,1.64,1.64,4.1,4.93
 36-46,0,0,0.81,0,0,0,0,0,3.22,0,0,0,0,0.81,0,0.81,19.34,43.51,4.03,0,0,0.81,0,1.61,0,4.83,0.81
 48-58,0,0,0,0,0,2.87,0,0,0.57,0,0,0,0,0,0,0,9.75,17.79,1.72,0,0,0,0,0,0,9.18,0.57
 60-70,0,0,0,0,0,6.87,0.98,0.98,0,0,0,0,0,0,0,0,23.56,15.7,3.93,0.98,0,0.98,0,0.98,0,11.78,0
 72-82,0,0,0,0.98,0,13.74,0,0,1.96,0,0,0,0,0,0,0,31.41,15.71,1.96,0.98,0,0,0,0,0,21.6,0
 84-94,0,0,0,3.19,0,11.68,0,2.12,2.12,0,0,0,0,1.06,1.06,0,16.99,14.87,1.06,0,0,0,0,4.25,0,11.68,0
 96-106,0,0,0,1.09,0,5.46,1.09,5.46,3.28,1.09,0,1.09,1.09,2.19,0,0,29.51,19.67,2.19,2.19,0,1.09,0,1.09,0,7.65,1.09
108-118,0,0,0.77,0,0,7.66,0.77,1.53,1.53,0.77,0.77,0,0,3.83,0,0,26.81,26.81,3.83,2.3,0,1.53,0.77,1.53,0,6.13,1.53
120,0,0,0,0,0,5.88,0,5.88,1.96,1.96,0,0,0,0,0,0,27.44,27.44,5.88,3.92,0,0,0,1.96,0,1.96,0
