stage,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,liver,melanocytes,mesenchyme,mucous,mural_cell,neural,notochord,otic,periderm,presomitic_mesoderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,4.93,0,0,0.82,0,0.82,0,0,0
 36-46,0,0,2.42,0,0,0.81,0,0.81,0,0,3.22,0.81,0,0,0,0.81,0.81,0,0
 48-58,0,0,0,0,0,0,0,1.72,0,0,2.3,0,0,0,0,1.15,0.57,0,0
 60-70,0,0,1.96,0,0,0,0,0,0,0,8.83,0,0,0,0,0,0,0,0.98
 72-82,0,0,0.98,0,2.94,0,0,0,0,0.98,2.94,0,0,0,0,0.98,0,0.98,0
 84-94,0,0,3.19,0,0,0,1.06,1.06,0,0,2.12,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,1.09,0,0,2.19,0,0,2.19,0,1.09,0,0,0,0,0,0
108-118,0.77,0,0.77,0.77,1.53,0,0,0,0.77,0,3.06,0,0.77,0,0,0,1.53,0,0
120,0,1.96,0,0,0,0,0,3.92,0,0,1.96,0,0,0,0,0,0,0,0
