stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching_gland,ionocyte,liver,melanocytes,mesenchyme,mucous,neural,notochord,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,0,0,0,0,0,0,10.51,0,0,0,0,0,28.92,5.26,13.14,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,3.28,0,0,0.82,5.75,0.82,0,0,0,0,1.64,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,4.83,0.81,0,0,0,0,2.42,0
 48-58,0,0,0.57,0,0,0,0,0,0,0,0.57,0,1.72,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.96,0,0,0,0,0,0,3.93,0,0,0,0,0,1.96,0
 72-82,0,0,0,0,0,0,0,0,0.98,0,0,0,3.93,0,0,0,0.98,0.98,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,1.06,0,1.06,7.43,2.12,0,0,0,5.31,0,1.06
 96-106,0,0,0,1.09,1.09,0,1.09,0,0,9.84,0,0,6.56,1.09,0,0,0,4.37,0,1.09
108-118,0,0,0,0,0,0,0,0,0,11.49,0,0.77,0,3.06,0,0,0,1.53,0,0
120,0,0,0,0,0,0,0,0,1.96,31.36,0,1.96,0,1.96,0,0,0,1.96,0,0
