stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,237.2,579.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,122.59,239.06,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,47.2,147.91,28.32,0,0,3.15,0,0,0,0,0,0,0
 14-21,1,0,0,12,6,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,11,157,77,8,11,0,12,7,8,0,1,0,0
 24-34,0,0,0,16.42,0,3.28,0,1.64,0,0,0,0,0,0,0,0,0,0.82,0.82,0,3.28,45.15,17.24,0,0,0.82,0,8.21,14.78,1.64,0,0.82,0,0
 36-46,0,0,0,8.86,0,6.45,5.64,1.61,6.45,0,0,0,0,0,0,0,0,2.42,0.81,0,3.22,33.84,2.42,0,0,0.81,0,11.28,0.81,6.45,0,0.81,0,0
 48-58,0,0,0,3.44,0,2.3,4.02,7.46,5.16,1.15,0,0.57,0.57,0,0,0,0,0.57,0,0,0.57,23.53,0.57,0,0.57,0,0,5.74,0,1.15,0,2.3,0,0.57
 60-70,0,0,0,4.91,0,9.82,6.87,5.89,5.89,0,0.98,0,0,0,0,0,0,2.94,0,0,2.94,18.65,0,0,0,0,0,6.87,0,4.91,0,0.98,0,0
 72-82,0,0,0,6.87,0,4.91,0.98,6.87,7.85,1.96,0,0,0,0,0,0.98,0,1.96,0,0,0,9.82,0,0,0,0,0,4.91,0,0.98,5.89,11.78,0,0
 84-94,0,0,0,6.37,0,7.43,6.37,7.43,1.06,1.06,1.06,0,0,1.06,2.12,0,0,1.06,0,2.12,2.12,6.37,0,0,1.06,0,0,3.19,0,2.12,8.5,5.31,0,0
 96-106,0,0,0,14.21,2.19,5.46,3.28,7.65,1.09,9.84,0,0,0,0,1.09,0,0,3.28,0,0,2.19,14.21,0,0,0,0,0,7.65,0,3.28,13.11,9.84,1.09,0
108-118,0,0,0,9.96,0,2.3,9.19,10.72,3.83,3.06,0,0,0,0,2.3,0,0,3.06,0,0,0.77,9.96,0,0,0,0,0,9.19,0,3.83,18.38,9.96,0,0
120,0,0,0,5.88,0,0,9.8,11.76,0,1.96,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0,0,0,1.96,9.8,7.84,0,0
