stage,epidermis,eye,fin_mesenchyme,glial,heart,immune,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,periderm,presomitic_mesoderm,spinal_cord,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0.82,0,0,0,0,0,0.82,0,0,0,4.93,0,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0.81,0,0
 48-58,0,0,0.57,0.57,0,0,0,0,2.3,0,0,2.3,0,0,0,0.57,0,0
 60-70,0,1.96,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0,1.96,0,0
 72-82,0,0.98,0,0,0,0,0,0,2.94,0.98,0,0.98,0,0,0,0,0,0
 84-94,1.06,0,0,1.06,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,1.09,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0.77,0,0.77,0,1.53,1.53,0,0.77,0,0,0.77,0.77
120,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
