stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,79.07,1686.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0
  5-6,24.52,404.56,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,10.51,18.4,0,0,26.29,0,0,10.51,0,0,0,0,0,0,283.9,23.66,0,0,81.49,0,7.89,0,0,0,0,0,0
 10-12,0,9.44,9.44,0,0,34.62,0,0,18.88,0,0,0,0,0,0,185.67,6.29,0,0,66.09,0,0,0,6.29,0,0,0,0
 14-21,0,0,0,1,1,4,0,0,0,0,0,0,0,2,1,24,0,0,0,0,0,0,3,1,1,4,0,0
 24-34,0,0,0,0,0.82,7.39,0.82,1.64,0,0,0.82,0.82,0,5.75,0.82,51.71,0,0,0.82,0,0,0,0,0.82,1.64,5.75,1.64,0
 36-46,0,0,0,0,0,9.67,0,2.42,0,0,0,0,0,3.22,0,27.39,0,0.81,0.81,0,0,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,0,12.62,0,1.15,0,0,0.57,0,1.15,5.16,0,10.9,0,0,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,37.3,0,0,0,0,0,0,0,4.91,0,18.65,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,9.82,0,0,0,0.98,0,0,0,2.94,1.96,2.94,0,0,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,1.06,0,15.93,0,5.31,0,1.06,0,0,0,3.19,2.12,10.62,0,1.06,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,4.37,0,2.19,0,0,1.09,0,0,2.19,0,6.56,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,2.3,0,1.53,0,0.77,0,0,0,2.3,0.77,9.19,0,0.77,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,1.96,5.88,0,0,0,0,0,0,0,0,0,0,0,0
