stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,0,0,0,0,1,0,0,3,0,0,1,4,11,0,0,0,0,0,1,4,0,1,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0,4.93,10.67,0,0,0,0,0,0,2.46,0,0.82,0
 36-46,0,0,0.81,0,1.61,0,0,1.61,0,0,0.81,0,0,0.81,4.83,4.83,0,0,0,0,0,0,3.22,0,0,0
 48-58,0,0,0,0,2.87,0,0,5.16,0,0.57,2.3,0,0,0,4.59,3.44,0,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,2.94,0,3.93,0,0,9.82,0,0,7.85,0,0,0,7.85,8.83,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,4.91,0,0.98,0,0,39.27,0.98,0,6.87,0,0,0,2.94,19.63,0,0,0,0.98,0,0,0,0.98,0,3.93
 84-94,0,0,7.43,1.06,3.19,1.06,0,23.36,0,0,7.43,0,1.06,0,1.06,18.05,0,1.06,0,0,0,0,1.06,1.06,0,2.12
 96-106,0,0,8.74,0,1.09,1.09,1.09,46.99,2.19,1.09,5.46,1.09,0,0,4.37,20.76,0,1.09,1.09,0,1.09,0,0,2.19,0,4.37
108-118,0,0,1.53,0,0.77,1.53,0,50.55,0.77,0.77,5.36,0,0,0,3.83,26.04,0,0,0,0,0,0,0,0.77,0,1.53
120,0,0,3.92,0,1.96,0,0,39.2,0,0,3.92,0,1.96,0,3.92,9.8,0,0,0,0,0,0,0,0,0,0
