stage,eye,immune,mesenchyme,neural,periderm,vasculature
 14-21,0,2,0,0,0,0
 24-34,0,18.06,0,0,0.82,0
 36-46,0,9.67,0,0,0,0
 48-58,0,22.38,0,1.15,0,0
 60-70,0,42.21,0,0,0,0
 72-82,0.98,30.43,0,0,0,0
 84-94,0,31.86,1.06,1.06,0,0
 96-106,0,53.55,0,0,0,1.09
108-118,0,22.98,0.77,0,0,0
120,0,27.44,0,0,0,0
