stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,15.77,0,0,5.26,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,28.32,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,2,2,0,0,0,0,0,0,1,1,0,0,1,16,0,0,0,1,3,1,7,5,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,0,1.64,0,0,0.82,7.39,0,0,0,5.75,0,0,0,2.46,0,0
 36-46,0,0,0,0,2.42,0,0,0,0,0,0,2.42,0,0,0,10.47,0.81,0,0,8.86,0,1.61,0,1.61,0,0
 48-58,0,0,1.15,0,1.72,0.57,0.57,0,0,0,0,0.57,0,0,1.15,5.16,0,0,0,12.05,0,0,0,1.72,0,0
 60-70,0,0,0.98,0,0.98,0,0.98,0,0,0,0,1.96,0,0,0,5.89,0,0,0,10.8,0,1.96,0,0.98,0,0
 72-82,0,0,1.96,0,3.93,0,0,0.98,0,0,0.98,0.98,0,0,0,6.87,0,0,0,14.72,0,0,0,0,0,0.98
 84-94,0,0,5.31,0,3.19,0,1.06,0,0,0,1.06,0,2.12,0,0,3.19,0,0,0,61.6,0,0,0,1.06,0,0
 96-106,0,0,7.65,0,0,0,1.09,0,1.09,0,2.19,0,0,1.09,1.09,2.19,0,0,0,53.55,0,0,0,0,0,0
108-118,0,0,6.13,0.77,0.77,1.53,0,0.77,0,0,0.77,0,0,0,0,3.06,0,0.77,0,33.7,0,0.77,0,0.77,0.77,0
120,0,0,13.72,0,0,1.96,1.96,0,0,3.92,5.88,1.96,1.96,0,0,1.96,0,1.96,0,39.2,0,1.96,0,0,0,0
