stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,15.77,0,0,2.63,0,0,0,18.4,0,0,0,0,0,0,0,42.06,0,0,0,13.14,2.63,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,6,3,1,1,0,1,6,7,0,108,0,0
 24-34,0,0,0.82,0,0,0,0,0,1.64,0,0,0,16.42,0,0,5.75,0.82,22.98,4.1,0,0,0.82,0,8.21,0,0,29.55,1.64,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,10.47,0,0,4.03,0.81,1.61,8.86,0,0.81,0,0,8.06,0,0,0,1.61,0
 48-58,0,0,0,0,0,0,2.3,0,0.57,0.57,0,0,6.31,0,0,4.59,0,1.72,18.36,0,0,0,0,2.3,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0,3.93,0,0,8.83,0,1.96,18.65,0,0,1.96,0,0.98,0,1.96,0,0.98,0
 72-82,0,0,0,0,1.96,0,3.93,0,0,0,0,0,14.72,0,0,6.87,0.98,2.94,14.72,0,0,0,0,11.78,0,3.93,0,0,0
 84-94,0,0,0,0,4.25,0,5.31,0,0,1.06,0,0,25.49,0,0,2.12,0,5.31,9.56,0,1.06,0,0,31.86,0,7.43,0,0,1.06
 96-106,0,0,0,0,13.11,1.09,2.19,1.09,0,0,0,0,32.79,0,0,1.09,0,3.28,9.84,0,1.09,0,0,26.23,0,15.3,0,1.09,0
108-118,0,0,0,0,3.06,0,3.83,0.77,0,0.77,0,0.77,42.89,0.77,0,0.77,1.53,2.3,13.79,0,1.53,0.77,0,20.68,0,9.19,0,0.77,0
120,0,0,0,0,9.8,0,1.96,1.96,0,1.96,0,0,19.6,0,1.96,1.96,0,0,3.92,0,1.96,0,0,3.92,0,15.68,0,0,0
