stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,166,17,13,0,0,3,3,0,0,3,0,1,9,0,8,315,0,2,10,26,42,58,6,9,83,96,0,11,0
 24-34,8.21,0,4.1,0,0,1.64,0.82,0,1.64,0.82,0,0,12.31,0,4.93,248.72,0.82,2.46,0,0,101.79,0,0,3.28,5.75,43.51,0,47.61,4.1
 36-46,0,0,0.81,0,0,0.81,0,0,1.61,0,0,0.81,8.06,0,0,33.03,0,0,0,0,26.59,0,0,0,0,7.25,0,18.53,0
 48-58,0,0,0.57,0,1.72,0.57,0,0.57,0,0,0,0,3.44,0,0,35,0,0,0,0,17.79,0,0,0,0,3.44,0,4.02,0
 60-70,0,0,0,0,0.98,0,0.98,0,0.98,0,0,0,0.98,0,0.98,5.89,0,0,0,0,5.89,0,0,0,0,0,0,2.94,0
 72-82,0.98,0,1.96,0,0.98,0.98,1.96,2.94,0.98,0,0,0,8.83,0,0,6.87,0,0,0,0,11.78,0,0,0,0,0,0,12.76,0
 84-94,0,0,1.06,0,0,0,1.06,0,2.12,0,1.06,0,4.25,0,0,6.37,0,0,0,0,9.56,0,0,0,0,0,1.06,11.68,0
 96-106,1.09,0,1.09,0,2.19,0,0,1.09,3.28,0,0,0,3.28,1.09,0,3.28,0,0,0,0,12.02,0,0,0,0,0,0,5.46,0
108-118,0.77,0,0,0.77,0.77,0,0,0.77,3.06,0,0,0,3.83,0,0,4.6,0.77,0,0,0,8.43,0,0,0,0,0,0,6.13,0
120,3.92,0,0,0,0,0,0,0,5.88,0,0,0,1.96,0,0,3.92,0,0,0,0,15.68,0,0,0,0,1.96,0,11.76,0
