stage,axial,blastomeres,endoderm,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,pgc,pronephros
  3-4,79.07,724.79,0,0,0,0,0,0,39.53,0,0
  5-6,24.52,422.94,0,0,0,6.13,0,6.13,6.13,0,0
  7-9,5.26,13.14,10.51,23.66,7.89,220.81,2.63,60.46,0,2.63,0
 10-12,0,9.44,15.73,15.73,3.15,210.85,9.44,81.82,0,3.15,12.59
