stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,gut,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,1,0,0,0,1,2,33,2,0,0,3,0,6,1,3,7,0
 24-34,0,0,2.46,2.46,0,1.64,0,0,0,2.46,0,18.88,0,0.82,0,0,1.64,0,0,0.82,4.1,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,2.42,1.61,20.14,0,0,0,0,1.61,0,0,0,3.22,0
 48-58,0,0,0.57,2.87,0.57,2.87,0,0,0.57,2.3,1.15,6.31,0,0,0,0,0,0,0,0,2.87,0
 60-70,0,0,0,0.98,0,1.96,0,0.98,0,3.93,0.98,15.7,0,0,0,0,0,0,0,0,3.93,0
 72-82,0,0,0.98,2.94,0,2.94,0,0,0,6.87,0.98,4.91,0,0,0,0,0,0,0,0,1.96,0.98
 84-94,0,0,1.06,0,0,5.31,1.06,0,0,4.25,1.06,2.12,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,1.09,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0.77,0,0,0,0.77,0,0,0,0.77,1.53,1.53,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,3.92,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
