stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,0,9,3,0,0,1,0,0,2,1,0,1,0
 24-34,0,0,0,0.82,8.21,0,0,0.82,0,0,0.82,0,0,0.82,0,24.63,0,13.95,22.16,0,0,0,0,0,1.64,1.64,0,2.46,0
 36-46,0,0,0,0,5.64,0,2.42,0.81,0,0.81,0.81,0,0,0,0,21.75,0,2.42,8.06,0,0,0,0,0,0,2.42,0,3.22,0
 48-58,0,0,0,0,0.57,0,1.15,0,0,0.57,0,0.57,0,0,0,28.69,0,5.16,11.48,0,0.57,0,0,0,0,3.44,0,0.57,0
 60-70,0,0,0.98,0,2.94,0,3.93,0.98,0.98,0.98,0,0.98,0,0,0,37.3,0,7.85,5.89,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0.98,0,3.93,0.98,1.96,1.96,0,0,0,0,0,44.17,0,3.93,1.96,0,0,0,1.96,0.98,0,0,0.98,1.96,0.98
 84-94,0,0,0,0,4.25,0,7.43,3.19,0,1.06,0,0,0,0,0,24.43,0,5.31,4.25,1.06,1.06,0,0,2.12,0,0,0,2.12,0
 96-106,0,0,0,0,4.37,0,1.09,3.28,1.09,2.19,0,0,0,0,2.19,25.14,0,3.28,5.46,0,0,0,1.09,0,0,1.09,1.09,1.09,0
108-118,0,0,0,0,6.13,0.77,2.3,1.53,0,0,0,0,0.77,0.77,0.77,25.28,0.77,3.83,11.49,0,2.3,0,0.77,0.77,0,0,0,0.77,0
120,0,0,0,0,5.88,0,1.96,1.96,0,0,0,0,0,1.96,0,23.52,1.96,0,7.84,0,3.92,0,0,0,0,0,0,0,0
