stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,329.45,6852.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.38,0,0,0,0,0,0,0,0,0,0,0
  5-6,441.33,5289.88,0,24.52,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,232.93,18.39,0,0,61.3,55.17,0,0,0,0,0,0,0,0,0,0,0
  7-9,42.06,81.49,0,102.52,0,0,0,139.32,0,0,0,0,0,89.38,0,0,0,0,0,0,0,0,0,0,0,1700.78,63.09,0,0,1046.23,15.77,34.17,0,0,0,0,0,0,0,0,0,0
 10-12,0,31.47,0,72.38,0,6.29,0,119.58,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,1123.47,25.18,0,0,390.22,12.59,6.29,0,50.35,0,0,0,0,0,0,0,0
 14-21,1,0,1,9,159,19,0,36,0,0,0,16,4,0,1,0,2,0,0,0,0,44,0,0,38,523,21,4,12,40,40,0,109,5,1,40,186,0,0,3,0,0
 24-34,0,0,0,0,215.89,2.46,0,134.62,0,13.95,0,28.73,1.64,0,0.82,3.28,0.82,1.64,4.93,0.82,0.82,138.72,1.64,0.82,56.64,1370.83,68.13,16.42,15.6,0,158.43,0,0,2.46,0.82,9.03,385.8,0,0,21.34,0,3.28
 36-46,0,0,0,0,76.54,3.22,0,272.32,0.81,17.72,0.81,19.34,0.81,0,0.81,4.83,0.81,0.81,2.42,0.81,0,110.38,1.61,4.03,40.28,722.69,62.84,6.45,5.64,0,61.23,0,0,2.42,0,0.81,214.31,0,0,7.25,0,0.81
 48-58,0,0,0,0,94.1,5.16,0,344.86,0.57,20.08,0,19.51,0.57,0,3.44,0.57,1.15,1.72,4.02,1.72,0,144.03,2.87,4.59,20.08,339.69,61.4,5.74,6.31,0,29.84,0,0,0.57,0,0,81.48,0,0,3.44,0,0.57
 60-70,0,0,0,0,95.21,0,0,181.58,0,14.72,0.98,18.65,1.96,0,2.94,1.96,0.98,1.96,5.89,0,0,97.17,2.94,6.87,14.72,144.28,36.32,1.96,4.91,0,31.41,0,0,2.94,0,0,10.8,0,0,5.89,0.98,0.98
 72-82,0,0,0.98,0,111.91,3.93,0,86.39,0,13.74,0,35.34,6.87,0,1.96,1.96,1.96,1.96,0.98,1.96,0,110.93,0.98,6.87,17.67,159.03,20.61,4.91,4.91,0,15.71,0,0,1.96,0,0,6.87,2.94,0,10.8,1.96,0
 84-94,0,0,0,2.12,184.79,3.19,1.06,82.84,0,25.49,0,16.99,21.24,0,2.12,2.12,4.25,4.25,1.06,2.12,0,97.71,3.19,13.81,19.12,112.58,56.29,7.43,11.68,0,25.49,0,0,6.37,0,0,7.43,5.31,1.06,11.68,0,0
 96-106,0,0,0,0,135.51,0,0,78.68,0,20.76,1.09,22.95,19.67,0,5.46,6.56,4.37,1.09,4.37,1.09,0,67.76,1.09,4.37,15.3,98.36,41.53,4.37,13.11,0,28.41,0,0,2.19,0,0,1.09,3.28,1.09,8.74,0,1.09
108-118,0,0,0,0,94.98,0.77,0.77,67.4,0,26.81,1.53,16.09,7.66,0,0,3.83,3.06,2.3,0,1.53,0,43.66,0,0.77,8.43,112.6,52.85,5.36,10.72,0,23.74,0,0,2.3,0,0,0.77,2.3,0.77,6.89,0.77,0.77
120,0,0,0,0,78.39,5.88,1.96,56.83,0,15.68,1.96,13.72,3.92,0,1.96,1.96,0,0,0,0,0,31.36,0,1.96,1.96,74.47,62.71,0,5.88,0,15.68,0,0,1.96,0,0,3.92,1.96,0,3.92,0,0
