stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
 14-21,1,10,85,32,0,56,0,0,10,2,1,0,0,5,0,0,0,60,2,0,48,525,33,3,5,13,40,47,4,1,39,88,3,0
 24-34,0,0,12.31,2.46,0,91.94,0,0,12.31,0,0,1.64,0.82,2.46,0.82,0.82,0.82,37.76,0.82,1.64,9.85,458.04,4.93,0.82,4.93,0,13.95,0,0,0,0.82,88.65,9.85,0.82
 36-46,0,0,4.03,5.64,0,188.53,0.81,1.61,10.47,0,0,0,0,0,0.81,0,0.81,32.23,0,0.81,7.25,364.16,2.42,2.42,0.81,0,3.22,0,1.61,0,0,68.48,4.03,0.81
 48-58,0,0,4.02,1.72,0,184.19,1.15,0,12.05,0,0,0.57,0,0,0,0,0,35.58,0,5.74,4.59,154.93,2.3,0.57,1.72,0,2.87,0,0,0.57,0,26.97,2.3,0.57
 60-70,0,0,5.89,1.96,0,154.1,0,1.96,15.7,0.98,0,0,0,0,0.98,0.98,0.98,43.19,0,1.96,3.93,110.91,4.91,0,0,0,0.98,0,0.98,0,0,7.85,0.98,0
 72-82,0,0,2.94,0,0,83.44,0,0,13.74,2.94,0,0.98,1.96,0,0.98,0,0,33.38,0,0.98,0.98,62.83,0,0,0,0,0.98,0,0,0,0,0.98,0.98,0
 84-94,0,0,4.25,4.25,0,48.85,0,0,7.43,2.12,0,0,2.12,1.06,1.06,0,1.06,21.24,0,2.12,5.31,50.98,2.12,1.06,1.06,0,3.19,0,0,0,0,0,3.19,0
 96-106,0,0,3.28,0,0,21.86,0,1.09,6.56,2.19,0,0,1.09,0,0,0,0,18.58,0,1.09,5.46,30.6,0,0,0,0,2.19,0,0,0,0,0,1.09,0
108-118,0,0,0.77,2.3,0,26.04,0,0,4.6,1.53,0,0,3.06,0,0,0,0,6.89,0,0.77,3.83,44.43,0,0,2.3,0,2.3,0,0,0.77,0,0.77,0.77,0
120,0,0,1.96,5.88,1.96,62.71,0,0,17.64,3.92,0,0,3.92,0,0,0,1.96,13.72,0,0,3.92,54.87,0,1.96,3.92,0,0,0,0,0,0,0,3.92,0
