stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,gut,immune,ionocyte,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0,0.82,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,2.87,0,0,2.3,0,2.3,0,0,0,0,0,0,0,0,0
 60-70,0,2.94,0,0,0,0,0,0,0,5.89,0,0,14.72,0,0.98,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,0,0.98,0.98,0,4.91,1.96,1.96,21.6,0,2.94,0,2.94,0,0,0,0,0.98,0,0
 84-94,0,1.06,0,0,0,0,1.06,0,0,4.25,3.19,0,9.56,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,3.28,0,0,3.28,1.09,2.19,1.09,2.19,4.37,2.19,1.09,50.27,1.09,9.84,0,3.28,0,0,0,0,1.09,2.19,0
108-118,0,1.53,0,0.77,1.53,0,2.3,0.77,0,2.3,2.3,0.77,22.98,0.77,3.06,0,1.53,0,0,0,0.77,0,0,0.77
120,0,5.88,0,0,0,0,0,0,0,0,0,0,13.72,0,1.96,0,1.96,0,0,0,0,0,0,0
