stage,blastomeres,epidermis,eye,glial,gut,lateral_line,melanocytes,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.26,5.26,0,0
 10-12,0,0,0,0,0,0,0,0,0,15.73,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,0.82,0,0,0.82,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0.57,1.72,0.57,0,0,0,0,0,1.72,0,0,0
 72-82,0,0,3.93,0.98,0,0,0,0.98,0.98,2.94,0,0,0
 84-94,0,0,0,1.06,1.06,0,0,1.06,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0.77,0,0,0,0,0,0,0,0.77,0,0,0
120,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0
