stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2,10,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,6,79,2,1,0,1,0,0,0,5,2,2,25,0,0,0,0,0
 24-34,0.82,7.39,0,18.88,0,1.64,0,4.93,0.82,0,0,0.82,1.64,0.82,0,0.82,0,13.13,0,0,5.75,197.83,0,4.93,1.64,0,0,4.93,0,0,0,3.28,40.22,0,0,4.93,0,0
 36-46,0,0.81,0,41.09,0,0,0,6.45,0.81,0,0,0,0.81,0,0.81,0,0.81,7.25,0,0,3.22,142.6,0,2.42,1.61,0,0,1.61,0.81,0,0,0,26.59,0,0,0.81,0,0.81
 48-58,0,3.44,0.57,61.4,1.15,0.57,1.15,17.79,0,0,0,0,0.57,0.57,0,0.57,0,18.36,0,1.15,2.3,173.29,0,1.15,1.72,0,0,1.15,0,0,0,0,33.28,0,0,1.15,0,1.15
 60-70,0,2.94,0,74.6,0,0.98,0.98,17.67,0,0,0.98,0,0,0,0,0,1.96,26.5,0.98,0,4.91,155.08,0,1.96,1.96,0,0,0.98,0,0,0,0,18.65,0,0.98,2.94,0,0
 72-82,0,0,3.93,94.24,0.98,0,0.98,23.56,0,0,0.98,0,0,0,0.98,0.98,0,40.25,0,0.98,2.94,160.99,0,1.96,2.94,0,0,0.98,0,0,0,0,6.87,0.98,1.96,8.83,0.98,0
 84-94,0,3.19,2.12,54.16,0,0,1.06,12.74,1.06,1.06,0,1.06,0,0,0,1.06,0,16.99,0,0,1.06,73.28,1.06,1.06,5.31,0,1.06,2.12,0,0,0,0,13.81,1.06,0,1.06,1.06,0
 96-106,0,6.56,4.37,33.88,1.09,1.09,0,7.65,1.09,0,0,4.37,1.09,0,1.09,0,0,17.49,0,2.19,1.09,59.01,1.09,2.19,4.37,0,0,2.19,0,0,0,0,1.09,1.09,0,2.19,2.19,0
108-118,0,1.53,2.3,38.3,0,0,0,6.89,4.6,0,0,1.53,0.77,0,0.77,0,0,12.26,0,0,1.53,57.45,0,0.77,1.53,0,0.77,4.6,0,0,0,0,0.77,0,0,1.53,0.77,0.77
120,0,11.76,13.72,39.2,1.96,1.96,0,5.88,3.92,0,0,1.96,0,0,0,0,0,21.56,0,1.96,1.96,70.55,1.96,5.88,3.92,0,0,7.84,0,0,0,0,0,0,0,3.92,0,0
