stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.72,0,0,0,31.54,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,9,0,4,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,6,1,0,0,0,0,2,0,1,0,1,8,0,0,0,0
 24-34,0,0,0.82,2.46,0,8.21,0,1.64,0,2.46,0,0,0,0,1.64,0,0,2.46,0,3.28,0.82,0,1.64,39.4,0.82,0,0,0,0,14.78,0,0,0,0.82,5.75,0,0,0,0
 36-46,0,0,0,1.61,0,5.64,0,0.81,0.81,2.42,0,0,0,0.81,0.81,0,0,0,0,2.42,0,0,0,37.87,0.81,0.81,0,0,0,4.83,0,0,0,0,8.86,0,0,0.81,0
 48-58,0,0,0,1.15,0,9.18,0,1.15,0,3.44,0,0,0,0.57,1.15,0,0.57,0.57,1.15,4.02,0.57,0,0,27.54,1.15,0,0.57,0,0,3.44,0,0,0.57,0,4.02,0,0,0.57,0
 60-70,0,0,0,1.96,0,23.56,0.98,0.98,0.98,8.83,1.96,0,0,0,0,0.98,0,0,0,12.76,0.98,0,0.98,62.82,0,0,0,0,0,2.94,0,0,0,0,3.93,0,0.98,0.98,0
 72-82,0,0,0.98,5.89,0,26.5,0,1.96,0,23.56,5.89,0,0,0,1.96,0,0,4.91,0,11.78,0,0.98,1.96,42.21,0,0,1.96,0,0,1.96,0,0,0,0,6.87,0,0,0.98,0
 84-94,0,0,2.12,13.81,0,31.86,0,4.25,3.19,37.17,10.62,0,0,1.06,1.06,0,2.12,10.62,0,11.68,1.06,0,3.19,35.05,1.06,0,3.19,0,1.06,4.25,0,0,2.12,0,3.19,3.19,2.12,3.19,2.12
 96-106,0,0,1.09,9.84,0,19.67,0,3.28,0,27.32,3.28,0,1.09,1.09,4.37,1.09,1.09,4.37,0,16.39,0,0,1.09,29.51,1.09,2.19,0,0,0,7.65,0,0,0,0,4.37,1.09,1.09,1.09,1.09
108-118,0,0,0.77,10.72,1.53,22.21,0,3.83,0,45.19,6.13,0,0.77,0,2.3,0.77,0,44.43,0,17.62,0,0.77,3.06,53.62,0.77,1.53,1.53,0,1.53,7.66,0,0,0.77,0,2.3,1.53,0.77,1.53,1.53
120,0,0,0,5.88,0,15.68,0,0,1.96,9.8,1.96,0,0,0,0,0,0,3.92,0,7.84,0,0,1.96,29.4,0,0,0,0,1.96,3.92,0,0,0,0,3.92,0,0,1.96,0
