stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,318.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,5.26,0,0,23.66,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,86.75,0,0,0,28.92,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.79,0,0,0,59.79,0,0,3.15,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,3,12,1,0,0,0,1,1,0,0,0,2,0,0,0,0,7,0,0,3,77,2,0,1,0,0,0,1,5,2,1,43,0,0,2,0,0
 24-34,0,0,0,0.82,9.85,1.64,22.16,1.64,0.82,4.1,0.82,0.82,0,0,0.82,0,0.82,0,0.82,10.67,0.82,0,7.39,208.5,1.64,2.46,4.93,0,0,8.21,0,0,0.82,3.28,51.71,0,0,7.39,0,4.1
 36-46,0,0,0,0,3.22,0,20.14,0,1.61,7.25,0,0,0,0,0,0.81,0,0.81,1.61,11.28,0,0,2.42,174.02,0,0.81,0.81,0,0,4.03,0,0,0,0,43.51,0,0,4.03,0,0.81
 48-58,0,0,0,0,2.3,0,56.23,0,1.15,20.08,0,0,0,0.57,0,0,0.57,1.15,0,20.08,0.57,1.15,1.72,142.88,0.57,1.15,0.57,0,0,5.74,0,0,0,0,32.13,0,0,1.15,0,2.87
 60-70,0,0,0,0,1.96,0,79.5,0,0,25.52,0.98,0,0,0,0,0,0.98,0.98,1.96,21.59,0.98,0,0,120.73,0,2.94,2.94,0,0,2.94,0,0,0,0,17.67,0,0,3.93,0,2.94
 72-82,0,0,0.98,0,5.89,1.96,94.24,0,1.96,38.28,0.98,0,0.98,0,0.98,0.98,0,1.96,0.98,44.17,0.98,0,2.94,146.27,0.98,1.96,5.89,0,0,2.94,0,0,0.98,0,9.82,1.96,0,9.82,0.98,3.93
 84-94,0,0,2.12,0,8.5,1.06,55.23,0,4.25,26.55,6.37,0,0,3.19,3.19,0,0,2.12,3.19,30.8,0,2.12,1.06,64.78,1.06,2.12,7.43,0,0,22.3,0,0,4.25,0,3.19,2.12,0,11.68,2.12,1.06
 96-106,0,0,1.09,0,9.84,0,43.71,1.09,0,20.76,6.56,0,0,7.65,1.09,2.19,4.37,0,0,21.86,0,1.09,3.28,73.22,0,2.19,12.02,0,1.09,15.3,0,0,3.28,0,1.09,2.19,2.19,5.46,3.28,1.09
108-118,0,0,0,0,6.13,1.53,39.83,2.3,0.77,19.15,3.06,0,0,9.19,3.83,1.53,4.6,0.77,0.77,19.15,0,0,2.3,96.51,0,8.43,5.36,0,0.77,16.09,0,0,3.06,0,3.83,1.53,0,6.13,0.77,1.53
120,0,0,0,0,7.84,0,27.44,1.96,1.96,11.76,5.88,0,0,5.88,0,1.96,0,1.96,0,21.56,0,0,3.92,74.47,5.88,5.88,5.88,0,0,7.84,0,0,1.96,0,5.88,0,0,5.88,0,0
