stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,2,7,0,149,0,0,2,1,0,0,0,0,0,0,1,0,1,487,0,0,0,0,0,4,0,1,6,0,0,0
 24-34,0,1.64,0,403.86,0,0,4.93,0,0,0.82,0,0,2.46,0,2.46,0,1.64,404.68,0.82,0.82,0,0.82,1.64,0,0,0,9.03,0,0,0
 36-46,0,4.03,0,589.75,0,0,12.89,0,0,0,0,0,0,0,2.42,0,0,329.52,0,1.61,0,0,2.42,0,0,0,1.61,0,2.42,0.81
 48-58,0,1.72,0,357.48,0,0.57,14.92,0,0,0.57,0,0,0,0.57,1.72,0,0.57,184.19,0,0.57,0,0,0.57,0,0,0,9.75,0,0,0
 60-70,0,1.96,0,662.53,0,0,21.59,0,1.96,0,0,0,0,0,4.91,0,0,196.3,0.98,0,0,0,1.96,0,0,0,6.87,0,0.98,0
 72-82,0,3.93,0.98,375.98,0,0,28.47,0.98,0,0,0.98,0,0,0,9.82,0,0,135.47,0,0,0.98,0.98,0,0,0,0,0.98,0,0,0
 84-94,0,1.06,0,263.39,1.06,0,30.8,0,0,0,0,0,0,0,11.68,1.06,0,81.78,0,0,0,0,2.12,0,1.06,0,2.12,1.06,0,0
 96-106,0,1.09,0,194.53,0,0,27.32,0,1.09,0,0,1.09,0,0,3.28,0,0,55.74,0,1.09,1.09,0,0,0,0,0,1.09,0,0,0
108-118,0,1.53,0,170.81,0,0.77,22.98,0,0,0,0,0,0,0,1.53,0,0,81.96,0,0,0,0,0,0,0,0,0,0,0,0
120,0,5.88,0,131.31,0,0,17.64,0,0,0,0,1.96,0,0,1.96,0,1.96,82.31,0,0,0,0,0,0,0,0,0,0,0,0
