stage,epidermis,exocrine_pancreas,eye,immune,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,5.26,0,2.63,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,4
 24-34,1.64,0,0,0,0,0.82,0,0,0,1.64,1.64
 36-46,0.81,0,0,0,0.81,2.42,0,0,0,0.81,0
 48-58,0,0,0,0,0,1.15,0,0,0,1.15,0
 60-70,0,0,0,0,0,1.96,0,0,0.98,0,0
 72-82,0,0,0.98,1.96,0,0.98,0,0,0,0,0
 84-94,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,1.09,0,0
108-118,0.77,0,0,0,0,0,0.77,0,0,0,0
120,0,0,0,1.96,1.96,0,0,0,0,0,0
