stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,6,1,0,1,0,0,0,1,0,4,0,0,0,0,0
 24-34,0,0,0,2.46,0,1.64,0,0,0,0,0,0.82,0,0,0,0,3.28,0,0,0,11.49,2.46,1.64,0,0,0,5.75,0,0,4.1,0,0,1.64,0,0.82
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0,0,0,6.45,0,0,2.42,19.34,3.22,0.81,0,0,0,11.28,0,0,4.03,0,0,0,0,2.42
 48-58,0,0,0,0,0,4.59,0.57,0,1.72,0,0,0,0.57,0,0.57,0.57,5.74,0,0,1.72,31.56,0.57,0.57,0,0,0,5.74,0,0,7.46,0,0,1.15,0,0
 60-70,0,0,0,3.93,0,11.78,0,0.98,4.91,0,0,0,0.98,1.96,2.94,0,5.89,0.98,0.98,0.98,32.39,0,0,0,0,0,5.89,0,0,3.93,0,0,0,0,0
 72-82,0,0,0,0.98,0,13.74,0,0.98,1.96,0,0,0,0.98,0.98,7.85,0.98,17.67,1.96,0,1.96,36.32,0,0,0,0,0,13.74,0,0,2.94,0,0.98,0.98,0.98,0
 84-94,0,0,0,5.31,1.06,7.43,1.06,0,0,0,1.06,0,0,3.19,6.37,0,10.62,2.12,0,1.06,21.24,2.12,3.19,0,0,0,44.61,0,0,4.25,0,0,0,1.06,1.06
 96-106,0,0,0,13.11,0,7.65,1.09,0,5.46,0,0,0,3.28,1.09,8.74,0,12.02,0,0,3.28,20.76,0,6.56,1.09,0,1.09,59.01,0,1.09,1.09,0,2.19,1.09,1.09,0
108-118,0,0,0,12.26,1.53,2.3,2.3,0,2.3,0.77,0,0,2.3,4.6,5.36,0,4.6,1.53,0.77,1.53,13.02,0.77,3.83,2.3,0,0,45.19,0,0,0.77,0.77,1.53,0.77,2.3,0
120,0,0,0,9.8,0,5.88,1.96,0,0,3.92,0,0,3.92,0,0,0,7.84,0,1.96,0,21.56,1.96,1.96,0,0,0,62.71,0,0,1.96,0,0,0,1.96,0
