stage,axial,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  3-4,0,606.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,257.44,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,10.51,0,0,0,68.35,5.26,13.14,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,40.91,0,15.73,0,0,6.29,0,0
 14-21,0,0,1,0,0,1,0,3,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0.82,0,7.39,0,0,0,0,0,0.82,0.82
 36-46,0,0,0,0,0.81,0,0,1.61,0,0,0,0,0,0,0
 48-58,0,0,0,1.72,0.57,0,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,1.96,0,0.98,1.96,0,0,0,0,0,0.98,0.98
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0
120,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0
