stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,47.2,0,0,15.73,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,21,36,0,2,0,0,0,5,0,6,0,0,0,0,0,0,3,0,0,4,21,0,0,1,0,0,0,0,7,0,50,2,83,0,77,0,0
 24-34,0,0,0,85.37,6.57,0,4.93,0,10.67,0,1.64,0,7.39,0,1.64,0,0,0,0,13.95,0.82,0.82,6.57,18.06,0,0,0,0,0,0.82,0,0,1.64,41.86,8.21,38.58,0,235.59,0,0
 36-46,0,0,0,21.75,0,0,2.42,0,20.14,0.81,4.83,0,8.86,0,0,0,0,0,0,42.7,0,2.42,0.81,29,0,0,0,0,0.81,0,0,0,0,16.92,0.81,16.92,0.81,134.55,0,0
 48-58,0,0,0,9.18,0.57,0,5.16,0,18.36,3.44,2.87,0,16.64,0,0,0,0,0,0.57,123.94,0,17.79,2.87,17.79,0,0,0.57,0,0.57,0,0,0,0,3.44,0,13.77,1.15,107.3,0,0
 60-70,0,0,0,4.91,0.98,0,0.98,0.98,5.89,2.94,0.98,0,15.7,0.98,0,0,0.98,0,0,186.49,0.98,47.11,3.93,9.82,0.98,0,0,0,0.98,0,0,0,0,0.98,0,8.83,13.74,67.73,15.7,0
 72-82,0,0,0,16.69,0,0,9.82,0,3.93,0.98,0.98,0,25.52,0,0,0.98,0,0,0,166.88,0,31.41,2.94,16.69,0,1.96,1.96,0,0,0,0,0,0,0,0,4.91,7.85,118.78,24.54,0
 84-94,0,0,0,27.61,0,0,13.81,0,3.19,4.25,2.12,0,10.62,0,2.12,1.06,0,0,4.25,123.2,0,30.8,3.19,6.37,0,1.06,2.12,0,1.06,0,0,0,1.06,1.06,0,10.62,15.93,108.33,26.55,0
 96-106,0,0,0,37.16,1.09,1.09,7.65,1.09,1.09,3.28,3.28,2.19,18.58,0,6.56,2.19,0,1.09,1.09,76.5,0,10.93,1.09,4.37,1.09,0,4.37,0,0,1.09,0,0,3.28,0,0,0,4.37,110.38,18.58,0
108-118,0.77,0,0,30.64,0,0,5.36,1.53,0.77,3.06,2.3,1.53,8.43,0.77,10.72,0,0.77,0,0.77,58.98,0,6.13,0.77,9.96,0.77,0.77,2.3,0,0.77,0.77,0,0,0,0.77,0,5.36,0,81.19,11.49,0.77
120,0,0,0,23.52,0,0,3.92,1.96,0,3.92,1.96,0,11.76,1.96,3.92,1.96,3.92,0,0,56.83,0,5.88,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96,5.88,78.39,5.88,0
