stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,28.92,0,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,1,0,0,0,2,3,10,2,1,0,2,0,1,4,9,1,0
 24-34,0,0,0.82,0,1.64,0,0,0.82,0,0,0,0,3.28,0.82,24.63,4.1,0.82,0,0,0.82,0,1.64,4.93,0,0
 36-46,0,0,0,0,1.61,0,0,1.61,0,0,0,0,0,0.81,20.14,6.45,0,0.81,0,0,0,0,4.03,0,0
 48-58,0,0,1.15,0,4.02,0,0.57,1.72,0,0,0,0,4.02,1.15,10.9,5.16,0.57,0.57,0,0.57,0,0,2.87,0,0
 60-70,0,0,0.98,0,10.8,0,0,0,0,0,0,0,4.91,0,10.8,3.93,0.98,0,0,0.98,0,0,0,0,0
 72-82,0,0.98,0,0,3.93,0,0.98,1.96,0,5.89,0.98,0.98,3.93,0.98,12.76,3.93,0,0,0,1.96,0,0,0.98,0,0.98
 84-94,0,0,0,0,5.31,0,0,1.06,1.06,4.25,0,0,2.12,0,3.19,7.43,0,0,0,1.06,0,0,1.06,0,0
 96-106,0,0,2.19,0,4.37,1.09,0,3.28,1.09,25.14,0,0,5.46,0,3.28,8.74,0,1.09,0,0,0,0,0,1.09,0
108-118,0,0,2.3,0.77,3.83,0.77,0.77,0,0,16.85,0,0,3.83,0,11.49,12.26,0,0,0,1.53,0,0,0,0,0
120,0,0,1.96,0,1.96,0,1.96,0,0,17.64,0,0,1.96,0,7.84,9.8,0,0,0,1.96,0,0,1.96,3.92,0
