stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.44,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0
 14-21,0,26,1,4,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,156,0,3,0,0,1,0,0,44,0,0,1,0,0
 24-34,0,45.97,0.82,3.28,0,1.64,0,1.64,0.82,0,0,0,0.82,4.93,0,0,4.93,0.82,0,2.46,339.01,0,22.16,0.82,0,4.93,0,0,64.85,0,0,0.82,0,0
 36-46,0,20.14,0,12.09,0,1.61,1.61,15.31,0,0,0,0.81,0,2.42,0,0,6.45,0,0,0.81,501.13,0,36.26,2.42,0,7.25,0,0,65.26,0,0,1.61,0,0
 48-58,0,9.18,0,84.92,0.57,2.3,1.72,26.4,0,0.57,0,0,0.57,3.44,0,0.57,7.46,0,0.57,0,508.39,0,21.23,1.72,0,1.72,0,0,76.32,0,0,2.87,0,0.57
 60-70,0,10.8,0,262.07,0,6.87,0.98,46.13,0.98,0,0,0,0,3.93,0.98,0,18.65,0.98,2.94,0.98,769.51,0,30.43,0,0,4.91,0,0,94.23,0,1.96,1.96,0,1.96
 72-82,0,26.5,0.98,307.26,0,5.89,2.94,132.52,0.98,0,0,0,0,7.85,0,0,21.6,1.96,6.87,1.96,812.82,0,41.23,4.91,0,0.98,0,0,60.86,0.98,2.94,5.89,0,0
 84-94,0,36.11,0,227.28,0,8.5,1.06,75.4,0,0,0,1.06,0,13.81,0,0,21.24,0,7.43,1.06,444.99,1.06,38.23,4.25,0,4.25,0,0,50.98,0,2.12,2.12,2.12,0
 96-106,0,26.23,0,161.74,1.09,3.28,0,140.98,1.09,0,0,2.19,0,12.02,1.09,0,14.21,0,7.65,0,412,0,48.09,1.09,0,1.09,0,0,19.67,0,0,1.09,2.19,0
108-118,0,39.83,2.3,128.68,0,16.09,0.77,102.64,0.77,0,0,0,0,4.6,0.77,0,6.89,0.77,7.66,0.77,418.22,0,33.7,3.06,0,1.53,0,0.77,15.32,0,0.77,3.83,0,0
120,0,45.08,5.88,127.39,0,15.68,3.92,125.43,5.88,0,1.96,0,0,5.88,0,0,21.56,0,15.68,0,554.62,0,41.16,3.92,0,3.92,1.96,0,19.6,0,0,3.92,0,0
