stage,blastomeres,endoderm,epidermis,eye,glial,gut,heart,liver,mesenchyme,muscle,neural,paraxial_mesoderm,presomitic_mesoderm,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,10.51,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0.82,0,1.64,2.46,0,0.82,1.64,0,0
 36-46,0,0,0,0,0,0,1.61,0,0.81,0.81,2.42,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,1.72,2.3,4.02,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,0.98,1.96,2.94,0,0.98,0,0,0,0,0
 72-82,0,0,1.96,4.91,0,0,0,0,5.89,2.94,2.94,0,0,0.98,0.98,0.98
 84-94,0,0,0,2.12,1.06,1.06,1.06,0,2.12,1.06,2.12,0,0,0,0,0
 96-106,0,0,0,2.19,0,0,0,0,1.09,1.09,0,0,0,0,0,0
108-118,0,0,0,1.53,1.53,0,0,0,1.53,0.77,3.06,0,0,0,0,0
120,0,0,3.92,0,0,0,0,0,1.96,1.96,0,0,0,1.96,0,0
