stage,blastomeres,epidermis,eye,fin_epithelia,glial,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,visceral_smooth_muscle
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,7.89,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,4.1,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0.81,0.81,3.22,0.81,0,0,1.61,0
 48-58,0,0,1.15,0.57,0,0,0,0,0,0.57,5.74,0,0,0.57,0,0
 60-70,0,0,0.98,0,0.98,0,1.96,0,0,0,2.94,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0.98,0,0,0,1.96,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,4.25,0,0,0,1.06,1.06
 96-106,0,0,0,0,1.09,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,1.53,0,0,0.77,0,0,0,0,1.53,0,0,0.77,0,0
120,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0
