stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
 14-21,2,1,0,0,0,1,0,0,0,0,1,0,0,3,9,0,0,0,1,8,82,402,3,0,0
 24-34,0.82,0,3.28,11.49,0,1.64,0,1.64,0,0,0,0.82,1.64,5.75,24.63,1.64,0,0.82,1.64,0,14.78,114.1,4.1,1.64,0
 36-46,0,0,1.61,7.25,0,0,0,0,0,0,0,0,0,3.22,5.64,0,0.81,0,0,0,4.83,4.03,0.81,0,0.81
 48-58,0,0,2.87,4.59,0,0.57,0,0,0,0,1.15,0,0.57,3.44,7.46,0,0,0,0.57,0,4.02,0.57,0.57,0,0
 60-70,0,0,2.94,9.82,0.98,0.98,0.98,0,0,0,0,0,1.96,2.94,2.94,0,0,0,0,0,2.94,0,0.98,0,0
 72-82,0,0,3.93,8.83,0,0.98,0,0,0,0,0,0,0.98,2.94,4.91,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,16.99,0,1.06,0,0,0,1.06,0,0,1.06,7.43,1.06,1.06,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,1.09,10.93,0,0,1.09,0,1.09,0,0,0,1.09,3.28,1.09,2.19,0,0,0,0,0,0,0,0,0
108-118,0.77,0,1.53,9.19,0,0,0,0,0,1.53,0,0,0,4.6,1.53,0.77,0,0,0,0,1.53,0,0,0,0
120,0,0,0,19.6,0,0,0,0,0,1.96,0,0,3.92,3.92,1.96,0,0,0,0,0,0,0,0,0,0
