stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,1,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,2.46,27.91,0,0,0.82,0,0,0,0,1.64,0,1.64,5.75,0.82,0,0.82,0.82,0,0,0
 36-46,0,0,20.14,0.81,0.81,0,0,0,0,0,1.61,0,0.81,2.42,0,0,0,1.61,0,0,0
 48-58,0,0,55.66,1.15,0.57,0,0,0.57,0,0,4.59,0,1.15,4.02,0,0,0.57,1.72,0,0.57,0
 60-70,0,0,102.08,4.91,0,0,0,0,0,0,5.89,0,0,3.93,0,0,0,0,0,0,0
 72-82,0,0,175.72,1.96,0,0,0,0,0,0,9.82,0.98,1.96,3.93,0,0,0,0.98,0.98,0.98,0
 84-94,0,0,155.06,1.06,1.06,1.06,1.06,0,1.06,1.06,1.06,0,1.06,2.12,0,1.06,0,0,0,0,1.06
 96-106,1.09,0,125.68,2.19,1.09,0,0,0,0,0,4.37,0,0,2.19,0,0,0,0,0,2.19,0
108-118,0,0,97.28,1.53,0,2.3,0,0,0,0.77,3.06,0,1.53,6.13,0,0,0.77,0,0.77,0.77,0
120,0,0,96.03,1.96,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0
