stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,mesenchyme,mural_cell,neural,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,6.29,0,12.59,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,4.93,0,0,1.64,0.82,0.82,0
 36-46,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0,0,4.83,0,0,0,0,0,0.81
 48-58,0,0,0,0.57,0.57,0,0,0.57,0,0,0,0.57,0,0,3.44,0.57,0,0,0,0,0.57
 60-70,0,0,0,12.76,0,0,0,0,0,0,0,0,0.98,0.98,0.98,0,0,0,0,1.96,0
 72-82,0,0.98,0,53.99,0.98,0,0,0.98,0,0,0.98,0,0,0,8.83,0,0,0,0,0.98,0.98
 84-94,0,1.06,0,69.03,1.06,0,0,0,0,0,0,0,0,0,4.25,0,0,0,0,0,0
 96-106,0,0,0,79.78,0,0,1.09,1.09,0,0,1.09,0,1.09,0,1.09,0,0,1.09,0,1.09,1.09
108-118,0,0,0.77,74.3,0,0.77,0,0,0,0,3.83,0,0.77,0,0.77,0,0,0,0,0,0
120,0,1.96,1.96,58.79,1.96,0,0,0,0,0,0,0,3.92,0,5.88,0,0,0,0,0,1.96
