stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10,0,0,0,0,0,2,2,5,0,0,0
 24-34,0,0.82,0.82,0,0,0,3.28,0,0,0.82,0,0,0,0,0.82,0,0,0,5.75,4.93,25.45,0.82,1.64,0,0,0,0,1.64,7.39,0,0.82,0
 36-46,0,0,0,2.42,0,0,3.22,0.81,0,0.81,0,0,0,0,0,0,0,0,4.83,1.61,25.78,0,0,0,0,0,0,0,4.03,0,0.81,0
 48-58,0,0,0,0,0,0,9.18,0,0.57,3.44,0,0,0,0,0.57,0,0,0.57,5.16,1.15,24.1,0,0,0,0,1.15,0,0,6.31,0,1.72,0
 60-70,0,0,0,0.98,0,0,18.65,0.98,0.98,2.94,0,0.98,0,0,0,0,0,0,5.89,2.94,26.5,0.98,0,0,0,0.98,0,0,1.96,0.98,0.98,0
 72-82,0,0,0.98,0,1.96,0,9.82,0,0.98,2.94,0,0,0,0,0.98,0,0,0,12.76,0,23.56,1.96,0,0,0.98,0,0,0,2.94,0,0,0
 84-94,0,0,0,2.12,0,1.06,10.62,1.06,0,5.31,0,0,0,1.06,0,0,0,0,11.68,2.12,16.99,0,1.06,0,0,0,0,0,1.06,0,1.06,1.06
 96-106,0,0,0,1.09,0,0,2.19,0,0,4.37,2.19,0,1.09,0,1.09,1.09,0,0,8.74,0,8.74,0,0,0,0,2.19,0,0,0,0,1.09,0
108-118,0,0,0,0.77,0,1.53,6.89,0.77,0.77,6.13,0,0,0,0.77,0.77,1.53,0.77,0,12.26,2.3,13.02,0.77,0,0,0,0,0,0,0.77,0,2.3,1.53
120,0,0,0,1.96,1.96,0,5.88,0,0,1.96,0,0,0,3.92,0,0,0,0,3.92,1.96,15.68,0,0,0,1.96,1.96,0,0,0,0,0,0
