stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,immune,lateral_line,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0
 24-34,0,0,0,0,0,0,0,0,0,9.03,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,9.67,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,1.15,0.57,0,0,0,16.64,0,0,0,0,0,0,0
 60-70,0,0,0.98,0,0.98,0.98,0,0,0,44.17,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,7.85,5.89,0.98,0.98,1.96,39.27,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,4.25,4.25,0,0,1.06,26.55,1.06,0,1.06,0,0,0,0
 96-106,0,0,0,1.09,1.09,4.37,0,0,3.28,27.32,0,0,0,0,0,0,0
108-118,0,0,0.77,0,2.3,11.49,0,0,0,35.23,0,0,0,0,0.77,0,0.77
120,0,0,0,0,0,5.88,0,0,1.96,47.03,0,0,3.92,0,1.96,1.96,0
