stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,4,0,1,0,1
 24-34,0,0,0.82,0,0,4.93,0,0,0,0,0,1.64,0,2.46,0,8.21,0.82,30.37,0,0,0.82,0,0,0,4.93,0,0.82,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0.81,0,14.5,0,43.51,0.81,0,0.81,0,0,0,7.25,0,0.81,0,0
 48-58,0,0,0,0,0,4.59,0.57,0,0,0,0.57,0.57,0,0.57,0,21.8,0.57,35.58,0,0,0,0,0.57,0,3.44,0,0,0,0.57
 60-70,0,0,0.98,0,0,7.85,0,0.98,2.94,0,0,0,0.98,0,0,17.67,0,86.37,0,0,0,0,0,0,4.91,0,0,0,0
 72-82,0,0,0.98,0,0,53.01,0.98,0,0.98,0,0,0,0.98,0,2.94,39.27,0,94.24,0,1.96,0,0,0,0,2.94,0,0,0.98,0
 84-94,0,0,1.06,0,3.19,42.48,0,0,2.12,0,0,1.06,1.06,0,1.06,35.05,0,57.35,0,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,1.09,0,4.37,34.97,0,0,1.09,2.19,0,2.19,1.09,3.28,1.09,31.69,0,45.9,0,0,0,0,0,0,1.09,1.09,0,0,0
108-118,0,0,0,0.77,11.49,19.15,0,0,1.53,1.53,0,1.53,3.83,0,0.77,15.32,0,70.47,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,3.92,0,5.88,15.68,0,0,0,0,0,0,0,0,0,13.72,0,62.71,0,0,0,0,1.96,0,1.96,0,0,0,0
