stage,endocrine_pancreas,eye,glial,lateral_line,mesenchyme,mural_cell,neural,paraxial_mesoderm,pgc,pronephros,spinal_cord
  7-9,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0.82
 36-46,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,1.15,0,0,0,0,1.72,0,0,0,0
 60-70,0,0.98,0.98,0,0,0,4.91,0,0,0,0
 72-82,0,0.98,2.94,0.98,0.98,0.98,9.82,0,0,0.98,0
 84-94,1.06,2.12,0,0,1.06,0,2.12,0,0,1.06,0
 96-106,0,2.19,1.09,0,0,0,7.65,0,0,0,1.09
108-118,0,1.53,0,0,0,0,10.72,0,0,0,0
120,0,1.96,0,0,0,0,7.84,0,0,0,0
