stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,1,26,0,0,0,0,0
 24-34,0,0,0,0,0,0,3.28,0,0,0,8.21,0,0,0,0,0,0.82,0,0.82,2.46,0,0,0.82,174.02,0,9.03,0,0,0.82,0,5.75,88.65,0,0,2.46,0,0
 36-46,0,0,0,1.61,0,0,8.86,0,0,0,1.61,0,0,0,0,0,0,0,0,4.83,0,0,4.83,468.9,0,16.92,0.81,0,0,1.61,3.22,89.43,0,0,3.22,0,0
 48-58,0,0,0,1.15,0,0,51.64,0,0,0,9.18,0,0,0,0,0,0.57,0,0.57,13.2,0.57,0,2.87,748.82,0,14.35,0.57,0,0,0,2.87,103.86,0,0,0.57,0,1.15
 60-70,0,0,0,0.98,0,0,184.53,0,0.98,0,16.69,0,0.98,1.96,0,0,0.98,0,0,14.72,0.98,1.96,4.91,1281.87,0,20.61,0.98,0,0.98,0,5.89,132.51,0,0,0.98,0,0.98
 72-82,0,0,0,4.91,0,0,263.09,0,0,1.96,35.34,1.96,0.98,0.98,0.98,0.98,1.96,0,0.98,34.36,0,2.94,2.94,1171.12,0.98,29.45,4.91,0,0.98,0,2.94,117.8,0.98,0,1.96,0.98,0.98
 84-94,0,0,1.06,3.19,2.12,0,194.35,0,0,0,21.24,0,1.06,0,1.06,0,1.06,0,0,24.43,0,3.19,6.37,637.22,0,21.24,7.43,0,3.19,0,11.68,53.1,0,1.06,7.43,0,0
 96-106,0,0,0,10.93,1.09,0,174.86,0,0,1.09,25.14,1.09,0,0,0,0,9.84,1.09,0,19.67,1.09,0,2.19,510.36,0,44.81,10.93,0,4.37,0,4.37,38.25,0,1.09,2.19,2.19,1.09
108-118,0,0,2.3,7.66,2.3,0,126.38,0.77,0,0.77,24.51,0,0,0,0,1.53,3.06,0,0,9.19,0,0.77,4.6,517.03,0.77,31.4,12.26,0.77,2.3,0,5.36,19.92,1.53,1.53,7.66,0,0.77
120,0,0,0,11.76,0,1.96,117.59,3.92,5.88,0,27.44,0,0,1.96,0,1.96,3.92,0,1.96,7.84,0,3.92,1.96,574.22,0,21.56,11.76,0,0,0,9.8,23.52,0,1.96,0,0,0
