stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,28.92,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,12,0,0,0,0,0,3,1,0,0,2,0,0,1,0,0
 24-34,0,0,0.82,0,3.28,0,0,0,0.82,0,0,0,0,4.93,0,1.64,0,2.46,0,0.82,0.82,0,0,0.82,63.21,0,12.31,4.93,0,0.82,16.42,0,0.82,0,14.78,0,0,0.82,0,0.82
 36-46,0,0,0,0,0.81,0,0,2.42,0,0,3.22,0,0,1.61,0,0,0,1.61,0,0.81,5.64,0,0,0.81,91.85,0,15.31,0.81,0,0,24.17,0,0,0,16.92,0,0,0,0,0
 48-58,0,0,0,0,4.59,0.57,0,15.49,0,0.57,9.18,0,0,0.57,0.57,1.72,0,3.44,0,0.57,9.18,0.57,0,1.15,80.91,0.57,10.33,2.3,0,0.57,22.95,0,0,0,16.64,0,0,0,0,0.57
 60-70,0,0,0,0,3.93,0.98,0,105.02,0,0.98,23.56,0,0,0.98,2.94,1.96,0,4.91,0,0.98,11.78,0.98,0.98,3.93,128.58,0,18.65,6.87,0,0.98,41.22,0,0,0,15.7,0.98,2.94,0,0,0
 72-82,0,0,0,0,6.87,6.87,0,203.2,0,0,51.05,0.98,0,0,3.93,0.98,0.98,10.8,0,1.96,19.63,0.98,2.94,0.98,113.87,0.98,26.5,16.69,0,1.96,35.34,0,0,0,8.83,0.98,4.91,0,2.94,0
 84-94,0,0,0,0,12.74,3.19,0,150.81,1.06,0,38.23,2.12,0,1.06,1.06,4.25,1.06,8.5,2.12,2.12,14.87,2.12,1.06,1.06,88.15,0,35.05,26.55,0,0,133.82,0,0,0,7.43,5.31,3.19,1.06,4.25,0
 96-106,0,0,1.09,0,4.37,2.19,0,204.36,5.46,3.28,45.9,6.56,0,2.19,4.37,6.56,0,21.86,1.09,0,21.86,0,3.28,0,78.68,0,53.55,27.32,0,3.28,112.56,0,0,1.09,4.37,3.28,2.19,0,9.84,1.09
108-118,0,0,1.53,0,8.43,3.06,1.53,157.79,0,0.77,43.66,1.53,0,1.53,2.3,6.13,2.3,13.02,0.77,0,10.72,0.77,0.77,0.77,70.47,0,32.17,9.96,0,0,67.4,0,0,0,2.3,6.89,5.36,0.77,1.53,0
120,0,0,0,0,9.8,0,0,172.46,5.88,0,62.71,3.92,0,0,3.92,9.8,0,17.64,0,0,7.84,1.96,0,0,82.31,0,39.2,17.64,0,3.92,76.43,0,1.96,0,3.92,3.92,1.96,1.96,7.84,0
