stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,2.46,0,0.82,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.09,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0.57,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,5.89,0,0,0,0,0,0,0,0,3.93,0,0,0,0
 72-82,0,6.87,1.96,0,12.76,0,0,0,3.93,0.98,0,0.98,0,0,1.96,0.98,0,7.85,0.98,0,1.96,56.94,0.98,0.98,0.98,0,7.85,0,0,1.96,43.19,0,3.93,1.96,0.98
 84-94,0,15.93,1.06,0,11.68,0,1.06,0,3.19,6.37,0,1.06,1.06,0,3.19,0,0,8.5,0,2.12,1.06,26.55,0,1.06,0,0,5.31,0,0,0,158.24,1.06,0,0,0
 96-106,2.19,25.14,10.93,1.09,39.34,1.09,2.19,1.09,20.76,20.76,0,6.56,2.19,0,6.56,3.28,1.09,40.44,0,1.09,5.46,108.19,2.19,6.56,4.37,0,34.97,1.09,2.19,1.09,250.26,2.19,4.37,6.56,4.37
108-118,0,27.57,6.13,3.06,29.11,0.77,2.3,1.53,6.13,13.02,1.53,0,3.06,3.06,3.06,0,0,29.11,0,1.53,4.6,66.64,0.77,5.36,4.6,0.77,10.72,0.77,0,0.77,256.6,0.77,3.83,2.3,0.77
120,0,15.68,0,0,11.76,0,1.96,1.96,1.96,3.92,0,1.96,0,1.96,1.96,0,0,11.76,0,0,1.96,54.87,0,5.88,1.96,0,1.96,0,0,3.92,103.87,1.96,1.96,0,5.88
