stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,1,1,1,1,21,0,0,0,0,0
 24-34,0,0.82,0,2.46,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,302.08,0,4.93,0,0,0,1.64,0,0,0.82,118.2,0,0,0.82,0,0
 36-46,0,0,0,1.61,0,0,9.67,0,0.81,0,3.22,0,0,0,0,0,0,0,0,1.61,0.81,0,0.81,758.94,0,4.03,0,0,0,0,0,0,0,195.78,0,0,0,0,0
 48-58,0,0,0,5.16,0,0,53.94,0,1.15,0,15.49,0,0,0,0.57,0,0.57,0,0,10.33,0,0.57,1.15,1207.29,0,1.72,0,0,0,0,0,0,0,221.49,0,0,0,0,1.15
 60-70,0,0,0.98,4.91,0,0,179.62,0,0,0.98,35.33,0,0,0,0,0,0,0.98,0.98,8.83,0,0,2.94,2101.44,0.98,3.93,0,0,0,2.94,0,0,0,299.36,0,0,0.98,0,1.96
 72-82,0,0,0,11.78,5.89,0,364.2,0.98,1.96,0.98,74.61,0,0,0,0,0,0,0.98,0,18.65,0,0,2.94,1814.11,0,0.98,0,0,0.98,0.98,0,0,0,203.2,0.98,0.98,1.96,1.96,1.96
 84-94,0,0,0,19.12,0,0,238.96,1.06,1.06,3.19,53.1,0,0,2.12,3.19,1.06,2.12,0,0,10.62,0,0,1.06,864.5,0,4.25,0,0,1.06,1.06,0,1.06,0,134.88,0,1.06,1.06,0,1.06
 96-106,0,1.09,0,8.74,2.19,0,198.9,0,2.19,1.09,50.27,2.19,0,0,6.56,0,1.09,0,3.28,17.49,1.09,1.09,3.28,722.37,0,6.56,4.37,0,0,9.84,0,0,0,51.36,0,0,0,0,3.28
108-118,0,0.77,0,13.02,0.77,1.53,172.34,0,1.53,0.77,38.3,2.3,0,0,3.06,0,1.53,0,0.77,11.49,0,0,2.3,792.77,0,1.53,0,0,0,3.06,0,0,0,36.77,0.77,0,0.77,0,0
120,0,0,0,17.64,3.92,0,178.34,1.96,1.96,0,60.75,3.92,0,0,1.96,0,0,0,0,23.52,0,1.96,1.96,964.21,0,5.88,0,0,0,3.92,0,1.96,0,41.16,0,0,1.96,3.92,0
