stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,heart,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,110.14,0,0,0,3.15,0,0,0,0
 14-21,0,0,18,1,7,0,0,0,0,0,0,0,1,0,0,189,0,0,0,0,0,1,23,0
 24-34,0,0,2.46,0,3.28,0,0.82,0,0,0,0.82,0.82,0,0,0.82,275.81,0.82,3.28,0,0,0,0,16.42,0
 36-46,0,0,0,0,0,0.81,6.45,0,0.81,0.81,0,0,0.81,0,0,180.47,0,1.61,0,0,0,0,5.64,0
 48-58,0,0,0,0,2.3,0,13.77,0,0,0,0.57,0,0.57,0,0.57,156.07,0,0.57,0.57,0,0,0,5.16,0.57
 60-70,0,0,0,0,0.98,0,14.72,0,0.98,0,0,0,0.98,0,0,124.65,0,2.94,0,0,0,0,5.89,0
 72-82,0,0,0.98,1.96,3.93,0,17.67,0,0,0,0.98,0,5.89,0,0.98,118.78,0,1.96,0,0,0,0,2.94,0
 84-94,0,0,2.12,0,8.5,0,14.87,0,0,0,0,0,2.12,1.06,0,73.28,0,0,0,0,0,0,3.19,0
 96-106,0,0,0,0,7.65,1.09,12.02,0,0,0,0,0,1.09,0,0,72.13,0,4.37,0,0,1.09,0,1.09,1.09
108-118,0,0,0.77,0,3.06,0,11.49,0,0,0,0,0,0.77,0,0.77,74.3,0,2.3,0,0,0,0,0.77,0
120,0,0,1.96,0,15.68,0,7.84,0,0,0,0,0,0,0,0,52.91,0,3.92,0,0,0,0,1.96,0
